input_id,cpu_ema,model_used,confidence,latency_ms,correct,reward
0,4.1,fp32,0.762,8.0,1,0.92
1,3.3199999999999994,fp32,0.8943,9.22,1,0.9077999999999999
2,3.523999999999999,fp32,0.9366,14.03,1,0.8597
3,8.7068,fp32,0.9557,7.64,1,0.9236
4,6.994759999999999,fp32,0.8085,7.85,1,0.9215
5,7.356331999999998,fp32,0.2901,7.51,1,0.9249
6,6.199432399999998,fp32,0.3843,8.87,1,0.9113
7,4.789602679999999,fp32,0.0751,7.96,1,0.9204
8,4.252721875999999,fp32,0.1431,8.49,0,-0.0849
9,4.0269053131999994,fp32,0.5382,10.26,1,0.8974
10,4.018833719239999,fp32,0.5997,8.72,1,0.9128
11,4.343183603467999,fp32,0.7176,9.07,0,-0.0907
12,4.270228522427598,fp32,0.5429,8.11,1,0.9189
13,3.5891599656993187,fp32,0.1619,11.14,1,0.8886
14,3.1124119759895232,fp32,0.4148,9.63,0,-0.09630000000000001
15,3.3786883831926664,fp32,0.2617,13.31,0,-0.1331
16,3.415081868234866,fp32,0.7581,10.93,1,0.8907
17,3.440557307764406,fp32,0.0861,8.49,0,-0.0849
18,3.758390115435084,fp32,0.6289,10.76,1,0.8924
19,3.230873080804559,fp32,0.3559,7.37,1,0.9263
20,11.86161115656319,fp32,0.1381,8.79,0,-0.08789999999999999
21,20.753127809594233,fp32,0.3477,14.61,0,-0.1461
22,27.78718946671596,fp32,0.518,23.72,1,0.7628
23,32.71103262670117,fp32,0.7162,23.2,0,-0.23199999999999998
24,35.55772283869082,fp32,0.1841,22.15,0,-0.2215
25,38.15040598708357,fp32,0.1872,23.33,0,-0.23329999999999998
26,39.0052841909585,fp32,0.1954,23.15,0,-0.23149999999999998
27,39.51369893367095,fp32,0.9461,23.2,1,0.768
28,41.51958925356966,fp32,0.2696,23.27,0,-0.2327
29,42.71371247749876,fp32,0.2775,19.19,0,-0.19190000000000002
30,43.30959873424913,fp32,0.5809,23.65,0,-0.2365
31,42.88671911397439,fp32,0.72,23.07,1,0.7693
32,43.07070337978207,fp32,0.513,17.89,0,-0.1789
33,45.59949236584744,fp32,0.7944,27.32,1,0.7268
34,44.4296446560932,fp32,0.3995,24.04,0,-0.2404
35,43.61075125926524,fp32,0.4306,23.44,1,0.7656
36,43.24752588148567,fp32,0.188,16.06,0,-0.1606
37,44.37326811703997,fp32,0.2122,18.96,0,-0.18960000000000002
38,43.75128768192798,fp32,0.2132,22.64,1,0.7736
39,42.835901377349586,fp32,0.2548,23.18,0,-0.2318
40,42.58513096414471,fp32,0.2579,23.38,0,-0.2338
41,42.40959167490129,fp32,0.3281,22.75,1,0.7725
42,42.7967141724309,fp32,0.9775,23.5,1,0.765
43,43.21769992070163,fp32,0.604,23.06,1,0.7694
44,42.55238994449113,fp32,0.8822,24.61,1,0.7539
45,41.99667296114379,fp32,0.8955,17.69,1,0.8230999999999999
46,42.447671072800645,fp32,0.1905,13.36,0,-0.1336
47,42.58336975096045,fp32,0.9528,25.02,1,0.7498
48,42.588358825672316,fp32,0.8659,20.89,1,0.7911
49,42.41185117797062,fp32,0.4111,24.18,1,0.7582
50,42.408295824579426,fp32,0.762,23.06,1,0.7694
51,45.225807077205594,fp32,0.8943,21.94,1,0.7806
52,44.85806495404391,fp32,0.9366,25.13,1,0.7487
53,46.400645467830735,fp32,0.9557,23.71,1,0.7629
54,45.59045182748151,fp32,0.8085,25.69,1,0.7431
55,45.02331627923706,fp32,0.2901,19.24,1,0.8076
56,45.97632139546594,fp32,0.3843,24.93,1,0.7507
57,44.393424976826154,fp32,0.0751,25.78,1,0.7422
58,32.30539748377831,fp32,0.1431,8.98,0,-0.0898
59,23.363778238644812,fp32,0.5382,8.85,1,0.9115
60,18.33464476705137,fp32,0.5997,8.03,1,0.9197
61,14.364251336935958,fp32,0.7176,8.48,0,-0.0848
62,11.28497593585517,fp32,0.5429,8.81,1,0.9118999999999999
63,12.279483155098617,fp32,0.1619,8.6,1,0.914
64,11.325638208569032,fp32,0.4148,7.06,0,-0.0706
65,9.277946745998323,fp32,0.2617,11.38,0,-0.11380000000000001
66,8.024562722198825,fp32,0.7581,8.44,1,0.9156
67,7.297193905539177,fp32,0.0861,8.54,0,-0.08539999999999999
68,6.7880357338774235,fp32,0.6289,8.29,1,0.9171
69,5.501625013714196,fp32,0.3559,8.85,1,0.9115
70,4.931137509599937,fp32,0.1381,10.35,0,-0.1035
71,4.5317962567199555,fp32,0.3477,10.5,0,-0.105
72,7.1022573797039685,fp32,0.518,6.89,1,0.9311
73,6.171580165792778,fp32,0.7162,8.56,0,-0.08560000000000001
74,5.550106116054944,fp32,0.1841,10.13,0,-0.10130000000000002
75,5.56507428123846,fp32,0.1872,9.14,0,-0.09140000000000001
76,5.755551996866922,fp32,0.1954,6.92,0,-0.0692
77,6.758886397806846,fp32,0.9461,7.48,1,0.9252
78,6.261220478464791,fp32,0.2696,7.26,0,-0.0726
79,6.362854334925353,fp32,0.2775,6.78,0,-0.0678
80,6.553998034447746,fp32,0.5809,8.21,0,-0.0821
81,7.767798624113421,fp32,0.72,6.97,1,0.9303
82,8.197459036879394,fp32,0.513,6.63,0,-0.0663
83,7.418221325815575,fp32,0.7944,7.61,1,0.9238999999999999
84,7.292754928070902,fp32,0.3995,9.77,0,-0.0977
85,6.004928449649631,fp32,0.4306,8.77,1,0.9123
86,4.953449914754741,fp32,0.188,7.89,0,-0.0789
87,4.217414940328318,fp32,0.2122,8.83,0,-0.0883
88,3.5521904582298225,fp32,0.2132,8.35,1,0.9165
89,3.3865333207608757,fp32,0.2548,9.32,0,-0.0932
90,5.730573324532612,fp32,0.2579,8.15,0,-0.0815
91,4.911401327172829,fp32,0.3281,10.27,1,0.8973
92,8.14798092902098,fp32,0.9775,8.84,1,0.9116
93,6.153586650314685,fp32,0.604,8.91,1,0.9109
94,4.75751065522028,fp32,0.8822,7.42,1,0.9258
95,5.610257458654195,fp32,0.8955,6.65,1,0.9335
