input_id,cpu_ema,model_used,confidence,latency_ms,correct,reward
0,2.0,fp32,0.762,9.37,1,0.9063
1,2.0,fp32,0.8943,9.68,1,0.9032
2,1.5499999999999998,fp32,0.9366,8.38,1,0.9162
3,1.6849999999999996,fp32,0.9557,8.2,1,0.918
4,1.4794999999999996,fp32,0.8085,7.5,1,0.925
5,1.4856499999999997,fp32,0.2901,10.01,1,0.8999
6,1.6399549999999996,int8,0.3164,4.2,1,0.958
7,1.4479684999999998,int8,0.1484,3.6,1,0.964
8,1.4635779499999997,int8,0.1992,4.88,0,-0.0488
9,2.9745045649999997,fp32,0.5382,9.93,1,0.9007000000000001
10,2.5321531954999994,fp32,0.5997,7.97,1,0.9203
11,1.9225072368499994,fp32,0.7176,7.33,0,-0.0733
12,1.7957550657949994,fp32,0.5429,11.73,1,0.8827
13,3.3870285460564995,fp32,0.1619,9.26,1,0.9074
14,2.820919982239549,fp32,0.4148,7.91,0,-0.0791
15,2.724643987567684,int8,0.1523,4.69,1,0.9531
16,2.3572507912973784,int8,0.7148,4.55,1,0.9545
17,1.950075553908165,int8,0.0703,3.98,0,-0.0398
18,1.9650528877357152,fp32,0.6289,9.5,1,0.905
19,3.955537021415,fp32,0.3559,8.88,1,0.9112
20,12.968875914990498,fp32,0.1381,19.87,0,-0.19870000000000002
21,21.918213140493346,int8,0.4258,17.72,0,-0.1772
22,28.09274919834534,int8,0.5547,17.72,1,0.8228
23,31.72492443884174,fp32,0.7162,23.09,0,-0.2309
24,35.857447107189216,fp32,0.1841,16.92,0,-0.16920000000000002
25,37.64021297503245,int8,0.125,9.15,0,-0.09150000000000001
26,39.30814908252272,int8,0.1523,17.9,0,-0.179
27,39.6357043577659,fp32,0.9461,22.41,1,0.7759
28,40.46499305043613,fp32,0.2696,22.83,0,-0.22829999999999998
29,42.63549513530529,int8,0.2969,6.4,0,-0.064
30,43.794846594713704,int8,0.707,18.97,0,-0.18969999999999998
31,44.15639261629959,fp32,0.72,23.59,1,0.7641
32,43.32947483140971,fp32,0.513,22.78,0,-0.2278
33,42.540632381986796,fp32,0.7944,21.18,1,0.7882
34,42.07844266739075,fp32,0.3995,22.42,0,-0.2242
35,41.66490986717353,fp32,0.4306,23.66,1,0.7634
36,42.21543690702146,fp32,0.188,22.96,0,-0.22960000000000003
37,42.27080583491502,int8,0.2617,18.43,0,-0.1843
38,41.73956408444052,int8,0.2148,18.81,0,-0.1881
39,41.27769485910836,fp32,0.2548,23.3,0,-0.233
40,41.434386401375846,fp32,0.2579,22.83,0,-0.22829999999999998
41,41.36407048096309,fp32,0.3281,25.0,1,0.75
42,41.19484933667416,fp32,0.9775,24.36,1,0.7564
43,41.13639453567191,fp32,0.604,23.65,1,0.7635000000000001
44,41.995476174970335,fp32,0.8822,16.27,1,0.8372999999999999
45,41.60683332247923,fp32,0.8955,21.42,1,0.7857999999999999
46,41.27478332573546,fp32,0.1905,23.37,0,-0.23370000000000002
47,41.432348328014825,fp32,0.9528,22.95,1,0.7705
48,41.45264382961037,fp32,0.8659,23.7,1,0.763
49,41.16685068072726,fp32,0.4111,23.39,1,0.7661
50,41.116795476509076,fp32,0.762,24.45,1,0.7555000000000001
51,40.99175683355635,fp32,0.8943,23.88,1,0.7612
52,40.90422978348944,fp32,0.9366,23.16,1,0.7684
53,40.932960848442605,fp32,0.9557,22.73,1,0.7726999999999999
54,40.86307259390982,fp32,0.8085,15.75,1,0.8425
55,40.81415081573687,fp32,0.2901,23.42,1,0.7658
56,40.71990557101581,fp32,0.3843,23.79,1,0.7621
57,40.863933899711064,fp32,0.0751,23.81,1,0.7619
58,28.904753729797743,fp32,0.1431,8.97,0,-0.0897
59,20.68332761085842,fp32,0.5382,8.55,1,0.9145
60,15.078329327600892,fp32,0.5997,8.49,1,0.9151
61,11.154830529320623,fp32,0.7176,7.89,0,-0.0789
62,8.108381370524436,fp32,0.5429,8.15,1,0.9185
63,6.125866959367105,fp32,0.1619,9.92,1,0.9008
64,4.588106871556973,fp32,0.4148,10.86,0,-0.1086
65,3.661674810089881,fp32,0.2617,7.83,0,-0.07830000000000001
66,3.013172367062917,fp32,0.7581,8.59,1,0.9141
67,2.7092206569440416,fp32,0.0861,10.78,0,-0.10779999999999999
68,2.196454459860829,fp32,0.6289,8.13,1,0.9187
69,1.9875181219025801,fp32,0.3559,8.74,1,0.9126
70,1.841262685331806,fp32,0.1381,8.72,0,-0.08720000000000001
71,1.738883879732264,fp32,0.3477,7.91,0,-0.0791
72,1.8172187158125848,fp32,0.518,7.37,1,0.9263
73,3.522053101068809,fp32,0.7162,10.1,0,-0.10099999999999999
74,3.215437170748166,fp32,0.1841,7.26,0,-0.0726
75,2.4008060195237158,fp32,0.1872,11.12,0,-0.1112
76,2.4305642136666012,fp32,0.1954,12.84,0,-0.12840000000000001
77,2.001394949566621,fp32,0.9461,8.49,1,0.9151
78,2.0009764646966346,fp32,0.2696,7.9,0,-0.079
79,1.8506835252876441,int8,0.2969,3.52,0,-0.0352
80,1.7454784677013508,int8,0.707,6.31,0,-0.0631
81,1.5218349273909455,fp32,0.72,8.37,1,0.9163
82,1.3652844491736618,fp32,0.513,7.33,0,-0.0733
83,1.4056991144215631,fp32,0.7944,8.19,1,0.9181
84,1.1339893800950942,fp32,0.3995,10.04,0,-0.10039999999999999
85,1.393792566066566,fp32,0.4306,9.59,1,0.9041
86,1.425654796246596,fp32,0.188,8.18,0,-0.0818
87,1.597958357372617,fp32,0.2122,8.2,0,-0.08199999999999999
88,1.4185708501608318,fp32,0.2132,14.54,1,0.8546
89,1.5929995951125822,fp32,0.2548,7.62,0,-0.0762
90,1.5650997165788074,fp32,0.2579,8.59,0,-0.0859
91,1.6955698016051652,fp32,0.3281,8.31,1,0.9169
92,1.4868988611236156,fp32,0.9775,11.97,1,0.8803
93,1.4908292027865309,fp32,0.604,7.99,1,0.9201
94,1.4935804419505716,fp32,0.8822,7.86,1,0.9214
