input_id,cpu_ema,model_used,confidence,latency_ms,correct,reward
0,1.5,fp32,0.762,9.0,1,0.91
1,1.65,fp32,0.8943,8.27,1,0.9173
2,1.6049999999999998,fp32,0.9366,7.46,1,0.9254
3,1.7234999999999996,fp32,0.9557,6.38,1,0.9362
4,1.5064499999999996,fp32,0.8085,10.38,1,0.8962
5,1.5045149999999996,fp32,0.2901,7.33,1,0.9267
6,1.3531604999999998,fp32,0.3843,6.56,1,0.9344
7,1.3972123499999998,fp32,0.0751,8.45,1,0.9155
8,1.2780486449999997,fp32,0.1431,9.78,0,-0.0978
9,1.1946340514999998,fp32,0.5382,6.65,1,0.9335
10,1.2862438360499997,fp32,0.5997,11.2,1,0.888
11,1.5003706852349996,fp32,0.7176,8.84,0,-0.0884
12,1.3502594796644998,fp32,0.5429,8.05,1,0.9195
13,1.2451816357651497,fp32,0.1619,9.68,1,0.9032
14,1.3216271450356047,fp32,0.4148,8.5,0,-0.085
15,1.2251390015249233,fp32,0.2617,8.82,0,-0.0882
16,1.1575973010674463,fp32,0.7581,9.4,1,0.906
17,1.4103181107472125,fp32,0.0861,8.48,0,-0.0848
18,1.1372226775230487,fp32,0.6289,9.02,1,0.9097999999999999
19,1.246055874266134,fp32,0.3559,11.37,1,0.8863
20,10.862239111986293,fp32,0.1381,18.85,0,-0.18850000000000003
21,19.963567378390405,fp32,0.3477,21.41,0,-0.2141
22,26.124497164873283,fp32,0.518,21.12,1,0.7888
23,30.557148015411297,fp32,0.7162,20.83,0,-0.20829999999999999
24,33.540003610787906,fp32,0.1841,22.15,0,-0.2215
25,36.04800252755153,fp32,0.1872,22.33,0,-0.2233
26,37.383601769286074,fp32,0.1954,21.09,0,-0.2109
27,38.43852123850025,fp32,0.9461,21.53,1,0.7847
28,39.056964866950175,fp32,0.2696,21.78,0,-0.21780000000000002
29,39.45987540686512,fp32,0.2775,21.67,0,-0.21670000000000003
30,39.83191278480558,int8,0.707,16.98,0,-0.1698
31,39.94233894936391,int8,0.7227,17.1,1,0.829
32,40.22963726455473,fp32,0.513,21.83,0,-0.2183
33,40.31074608518831,fp32,0.7944,22.3,1,0.777
34,40.51752225963182,int8,0.5859,17.39,0,-0.1739
35,40.66226558174227,int8,0.4414,17.47,0,-0.1747
36,40.67358590721959,fp32,0.188,14.03,0,-0.1403
37,40.62151013505371,fp32,0.2122,21.74,0,-0.21739999999999998
38,40.735057094537595,int8,0.2148,17.04,0,-0.1704
39,40.84453996617631,int8,0.2695,17.09,0,-0.1709
40,40.89117797632342,int8,0.2422,17.83,0,-0.1783
41,41.52382458342639,int8,0.2266,17.55,1,0.8245
42,41.51667720839847,int8,0.9648,17.43,1,0.8257
43,41.121674045878926,int8,0.7109,18.06,1,0.8194
44,41.23517183211524,int8,0.8516,17.41,1,0.8259
45,41.19462028248067,int8,0.6211,17.59,1,0.8241
46,41.04623419773647,int8,0.1797,17.89,0,-0.1789
47,40.88236393841552,int8,0.9727,17.59,1,0.8241
48,40.88765475689087,int8,0.918,17.6,1,0.824
49,40.8313583298236,int8,0.4453,17.73,0,-0.1773
50,40.88195083087652,int8,0.7852,17.55,1,0.8245
51,40.73736558161356,int8,0.7617,16.94,1,0.8306
52,40.81615590712949,int8,0.8984,17.62,1,0.8238
53,40.81130913499064,int8,0.9531,17.67,1,0.8232999999999999
54,40.807916394493446,int8,0.8984,17.2,1,0.8280000000000001
55,40.86554147614541,int8,0.4062,18.2,1,0.8180000000000001
56,40.81587903330178,int8,0.3164,18.39,1,0.8161
57,40.931115323311246,int8,0.1484,17.96,1,0.8204
58,29.10178072631787,int8,0.1992,5.84,0,-0.0584
59,20.821246508422508,fp32,0.5382,8.55,1,0.9145
60,15.324872555895755,fp32,0.5997,7.71,1,0.9229
61,11.327410789127027,fp32,0.7176,9.87,0,-0.0987
62,8.079187552388918,fp32,0.5429,13.12,1,0.8688
63,6.255431286672242,fp32,0.1619,7.94,1,0.9206
64,4.82880190067057,fp32,0.4148,8.7,0,-0.087
65,3.830161330469399,fp32,0.2617,8.14,0,-0.08140000000000001
66,3.1311129313285786,fp32,0.7581,10.26,1,0.8974
67,2.641779051930005,fp32,0.0861,8.61,0,-0.0861
68,2.4492453363510034,fp32,0.6289,7.98,1,0.9202
69,2.014471735445702,fp32,0.3559,8.72,1,0.9128
70,2.0101302148119915,fp32,0.1381,8.53,0,-0.0853
71,1.557091150368394,fp32,0.3477,9.76,0,-0.0976
72,1.5399638052578757,fp32,0.518,8.63,1,0.9137
73,1.377974663680513,fp32,0.7162,9.09,0,-0.0909
74,1.2645822645763591,fp32,0.1841,8.81,0,-0.08810000000000001
75,1.1852075852034514,fp32,0.1872,8.94,0,-0.0894
76,1.2796453096424159,fp32,0.1954,9.26,0,-0.0926
77,1.345751716749691,fp32,0.9461,8.28,1,0.9172
78,1.3920262017247835,fp32,0.2696,8.89,0,-0.0889
79,2.0244183412073484,fp32,0.2775,8.83,0,-0.0883
80,1.7170928388451439,fp32,0.5809,8.57,0,-0.0857
81,1.6519649871916007,fp32,0.72,7.91,1,0.9209
82,1.6063754910341204,fp32,0.513,7.96,0,-0.0796
83,2.654462843723884,fp32,0.7944,10.79,1,0.8921
84,2.7581239906067188,int8,0.5859,5.01,0,-0.0501
85,2.080686793424703,int8,0.4414,5.44,0,-0.054400000000000004
86,2.206480755397292,fp32,0.188,8.46,0,-0.08460000000000001
87,2.144536528778104,fp32,0.2122,7.83,0,-0.07830000000000001
88,1.9511755701446727,fp32,0.2132,8.63,1,0.9137
89,1.965822899101271,fp32,0.2548,8.3,0,-0.083
90,1.6760760293708896,fp32,0.2579,8.88,0,-0.0888
91,1.6232532205596226,fp32,0.3281,10.55,1,0.8945
92,1.7362772543917355,fp32,0.9775,8.9,1,0.911
93,1.5153940780742148,fp32,0.604,6.3,1,0.937
94,1.3607758546519504,fp32,0.8822,9.41,1,0.9059
