input_id,cpu_ema,model_used,confidence,latency_ms,correct,reward
0,7.0,fp32,0.762,7.72,1,0.9228
1,16.57,fp32,0.8943,8.07,1,0.9193
2,12.829,fp32,0.9366,8.69,1,0.9131
3,9.430299999999999,fp32,0.9557,8.24,1,0.9176
4,7.201209999999999,fp32,0.8085,8.18,1,0.9182
5,5.7908469999999985,fp32,0.2901,8.42,1,0.9158
6,4.653592899999999,fp32,0.3843,7.96,1,0.9204
7,3.557515029999999,fp32,0.0751,7.14,1,0.9286
8,2.640260520999999,fp32,0.1431,9.38,0,-0.09380000000000001
9,5.058182364699999,fp32,0.5382,7.62,1,0.9238
10,5.520727655289998,fp32,0.5997,8.77,1,0.9123
11,6.294509358702998,fp32,0.7176,9.8,0,-0.098
12,5.006156551092098,fp32,0.5429,8.7,1,0.913
13,4.104309585764468,fp32,0.1619,10.79,1,0.8921
14,3.7730167100351273,fp32,0.4148,8.88,0,-0.0888
15,4.89111169702459,fp32,0.2617,7.52,0,-0.0752
16,4.173778187917213,fp32,0.7581,9.97,1,0.9003
17,4.151644731542048,fp32,0.0861,8.68,0,-0.0868
18,4.736151312079434,fp32,0.6289,8.13,1,0.9187
19,5.295305918455603,fp32,0.3559,11.32,1,0.8868
20,14.71671414291892,fp32,0.1381,20.69,0,-0.20690000000000003
21,23.261699900043247,fp32,0.3477,25.55,0,-0.2555
22,29.84318993003027,fp32,0.518,24.54,1,0.7545999999999999
23,33.910232951021186,int8,0.6016,10.73,0,-0.1073
24,36.487163065714824,int8,0.2422,10.43,0,-0.1043
25,38.05101414600038,int8,0.125,18.82,0,-0.1882
26,38.78570990220026,int8,0.1523,18.36,0,-0.18359999999999999
27,39.83999693154018,int8,0.8789,19.24,1,0.8076
28,43.127997852078124,int8,0.3359,19.65,0,-0.19649999999999998
29,42.84959849645469,int8,0.2969,20.65,0,-0.2065
30,42.50471894751828,int8,0.707,9.6,0,-0.096
31,42.353303263262795,int8,0.7227,18.48,1,0.8151999999999999
32,41.76731228428395,int8,0.5586,19.35,0,-0.1935
33,41.53711859899877,int8,0.625,18.6,1,0.814
34,42.09598301929913,int8,0.5859,20.4,0,-0.204
35,45.81718811350939,int8,0.4414,21.16,0,-0.2116
36,44.132031679456574,int8,0.1953,20.78,0,-0.2078
37,42.9824221756196,int8,0.2617,18.78,0,-0.18780000000000002
38,42.23769552293371,int8,0.2148,18.34,0,-0.1834
39,41.7163868660536,int8,0.2695,18.32,0,-0.1832
40,41.50147080623751,int8,0.2422,18.8,0,-0.188
41,41.20102956436626,int8,0.2266,18.61,1,0.8139000000000001
42,42.01072069505638,int8,0.9648,19.94,1,0.8006
43,41.46750448653946,int8,0.7109,18.25,1,0.8175
44,41.17725314057762,int8,0.8516,18.85,1,0.8115
