timestamp,cpu,ram,temperature,battery,health_score,model,decision_source,image_path,true_label,label,correct,confidence,latency_ms,decision_time_ms
2026-09-07 12:22:28,8.0,36.6,49.0,79.51,1.4187,fp32,algo,datasets/imagenette2-320/val/n03417042/n03417042_5221.JPEG,garbage truck,garbage truck,True,0.7764,12.5,5.607
2026-09-07 12:22:29,8.84,36.62,49.0,79.51,1.2765,int8,algo,datasets/imagenette2-320/val/n03445777/n03445777_490.JPEG,golf ball,golf ball,True,0.9219,7.07,0.185
2026-09-07 12:22:30,6.1,36.65,49.4,79.51,1.2766,int8,algo,datasets/imagenette2-320/val/n02979186/n02979186_5280.JPEG,cassette player,microwave,False,0.1875,2.84,0.284
2026-09-07 12:22:31,4.46,36.67,48.84,79.51,1.2746,fp32,algo,datasets/imagenette2-320/val/n02102040/n02102040_332.JPEG,English springer,English springer,True,0.2494,12.29,0.265
2026-09-07 12:22:32,4.24,36.68,48.1,79.51,1.0797,int8,algo,datasets/imagenette2-320/val/n02979186/n02979186_19412.JPEG,cassette player,cassette player,True,0.5234,9.21,0.198
2026-09-07 12:22:33,4.94,36.73,47.66,79.51,1.0788,int8,algo,datasets/imagenette2-320/val/n03394916/n03394916_51571.JPEG,French horn,French horn,True,0.957,2.82,0.198
2026-09-07 12:22:34,4.57,36.76,47.4,79.51,1.0782,int8,algo,datasets/imagenette2-320/val/n03000684/n03000684_28711.JPEG,chain saw,chain saw,True,0.9805,2.83,0.231
2026-09-07 12:22:35,4.3,36.77,47.64,79.51,1.0787,int8,algo,datasets/imagenette2-320/val/n03000684/n03000684_10902.JPEG,chain saw,chain saw,True,0.2188,2.82,0.231
2026-09-07 12:22:36,2.58,36.78,47.78,79.51,1.0792,fp32,algo,datasets/imagenette2-320/val/n03425413/n03425413_16300.JPEG,gas pump,gas pump,True,0.8064,12.3,0.209
2026-09-07 12:22:37,3.15,36.79,47.87,79.51,1.0865,fp32,algo,datasets/imagenette2-320/val/n03888257/n03888257_880.JPEG,parachute,snowmobile,False,0.4563,21.38,0.185
2026-09-07 12:22:38,11.85,36.97,47.78,79.51,1.0283,int8,algo,datasets/imagenette2-320/val/n03028079/n03028079_13311.JPEG,church,stupa,False,0.3945,2.83,0.228
2026-09-07 12:22:39,10.87,37.13,47.7,79.51,1.0268,int8,algo,datasets/imagenette2-320/val/n02102040/n02102040_791.JPEG,English springer,whippet,False,0.4883,2.84,0.231
2026-09-07 12:22:40,9.98,37.28,47.63,79.51,1.0256,fp32,algo,datasets/imagenette2-320/val/n02979186/n02979186_19690.JPEG,cassette player,tape player,False,0.5127,12.3,0.223
2026-09-07 12:22:41,9.38,37.41,47.67,79.51,0.992,int8,algo,datasets/imagenette2-320/val/n03425413/n03425413_13231.JPEG,gas pump,mobile home,False,0.9297,2.83,0.242
2026-09-07 12:22:43,8.84,37.53,47.6,79.51,0.9915,int8,algo,datasets/imagenette2-320/val/n03445777/n03445777_5912.JPEG,golf ball,golf ball,True,0.8633,3.65,0.221
2026-09-07 12:22:44,6.11,37.96,47.36,79.51,0.9899,int8,algo,datasets/imagenette2-320/val/n03888257/n03888257_61350.JPEG,parachute,parachute,True,0.8203,2.83,0.258
2026-09-07 12:22:45,4.46,38.26,46.82,79.51,0.9891,int8,algo,datasets/imagenette2-320/val/n02102040/n02102040_990.JPEG,English springer,English springer,True,0.9297,2.82,0.211
2026-09-07 12:22:46,3.48,38.39,46.49,79.51,0.9888,int8,algo,datasets/imagenette2-320/val/n03417042/n03417042_3272.JPEG,garbage truck,garbage truck,True,0.4492,2.83,0.234
2026-09-07 12:22:47,3.65,38.48,46.29,79.51,0.9886,int8,algo,datasets/imagenette2-320/val/n03425413/n03425413_691.JPEG,gas pump,parking meter,False,0.1523,2.82,0.249
2026-09-07 12:22:48,2.99,38.53,46.98,79.51,0.9903,fp32,algo,datasets/imagenette2-320/val/n03028079/n03028079_29670.JPEG,church,church,True,0.4952,12.33,0.227
2026-09-07 12:22:49,3.39,38.52,46.19,79.51,0.9602,int8,algo,datasets/imagenette2-320/val/n03000684/n03000684_34971.JPEG,chain saw,chain saw,True,0.9453,2.81,0.231
2026-09-07 12:22:50,3.56,38.51,46.11,79.51,0.96,int8,algo,datasets/imagenette2-320/val/n03417042/n03417042_2991.JPEG,garbage truck,snowplow,False,0.4062,2.81,0.278
2026-09-07 12:22:51,3.73,38.51,46.07,79.51,0.9599,fp32,algo,datasets/imagenette2-320/val/n02979186/n02979186_11550.JPEG,cassette player,tape player,False,0.5546,12.28,0.231
2026-09-07 12:22:52,3.04,38.5,46.04,79.51,0.9429,int8,algo,datasets/imagenette2-320/val/n03394916/n03394916_36532.JPEG,French horn,radiator,False,0.1562,2.81,0.197
2026-09-07 12:22:53,3.38,38.5,46.02,79.51,0.9427,fp32,algo,datasets/imagenette2-320/val/n01440764/n01440764_14280.JPEG,tench,tench,True,0.9222,12.3,0.26
2026-09-07 12:22:54,2.83,38.5,46.01,79.51,0.9579,fp32,algo,datasets/imagenette2-320/val/n03000684/n03000684_2960.JPEG,chain saw,gown,False,0.0675,12.3,0.244
2026-09-07 12:22:55,2.5,38.54,46.01,79.51,0.9071,int8,algo,datasets/imagenette2-320/val/n03888257/n03888257_37561.JPEG,parachute,parachute,True,0.1758,2.83,0.23
2026-09-07 12:22:56,3.06,38.56,46.41,79.51,0.9077,int8,algo,datasets/imagenette2-320/val/n03888257/n03888257_26931.JPEG,parachute,parachute,True,0.6953,4.34,0.081
2026-09-07 12:22:57,3.44,38.54,46.24,79.51,0.9073,int8,algo,datasets/imagenette2-320/val/n03417042/n03417042_14381.JPEG,garbage truck,garbage truck,True,0.8945,2.85,0.277
2026-09-07 12:22:58,3.66,38.52,46.15,79.51,0.907,int8,algo,datasets/imagenette2-320/val/n03888257/n03888257_66361.JPEG,parachute,parachute,True,0.1641,2.82,0.227
2026-09-07 12:22:59,3.8,38.51,46.09,79.51,0.9069,fp32,algo,datasets/imagenette2-320/val/n03425413/n03425413_13100.JPEG,gas pump,jinrikisha,False,0.1487,12.28,0.227
2026-09-07 12:23:00,3.88,38.51,46.05,79.51,0.8703,int8,algo,datasets/imagenette2-320/val/n03028079/n03028079_26110.JPEG,church,monastery,False,0.3008,2.84,0.224
2026-09-07 12:23:01,4.69,38.55,45.63,79.51,0.8699,int8,algo,datasets/imagenette2-320/val/n02979186/n02979186_13231.JPEG,cassette player,home theater,False,0.1367,2.83,0.244
2026-09-07 12:23:02,3.61,38.57,45.78,79.51,0.87,fp32,algo,datasets/imagenette2-320/val/n02979186/ILSVRC2012_val_00035160.JPEG,cassette player,loudspeaker,False,0.1244,12.3,0.229
2026-09-07 12:23:03,10.17,38.66,46.27,79.51,0.8457,int8,algo,datasets/imagenette2-320/val/n03000684/n03000684_4631.JPEG,chain saw,chain saw,True,0.582,7.22,0.102
2026-09-07 12:23:04,19.15,38.67,51.24,79.51,0.8883,int8,algo,datasets/imagenette2-320/val/n03394916/n03394916_47110.JPEG,French horn,coil,False,0.6328,7.55,0.101
2026-09-07 12:23:05,27.24,38.69,55.52,79.51,0.9463,int8,algo,datasets/imagenette2-320/val/n02979186/n02979186_12172.JPEG,cassette player,switch,False,0.5,7.59,0.103
2026-09-07 12:23:06,34.51,38.69,59.46,79.51,1.0094,int8,algo,datasets/imagenette2-320/val/n03417042/n03417042_3821.JPEG,garbage truck,alp,False,0.0352,11.39,0.108
2026-09-07 12:23:07,41.06,38.68,63.12,79.51,1.0726,fp32,algo,datasets/imagenette2-320/val/n03425413/n03425413_1421.JPEG,gas pump,gas pump,True,0.8827,34.51,0.113
2026-09-07 12:23:08,64.64,38.65,75.07,79.51,1.294,fp32,algo,datasets/imagenette2-320/val/n02979186/n02979186_22992.JPEG,cassette player,iron,False,0.1189,32.1,0.108
2026-09-07 12:23:09,78.78,38.63,82.24,79.51,1.2211,int8,algo,datasets/imagenette2-320/val/n03394916/n03394916_32411.JPEG,French horn,French horn,True,0.7422,11.36,0.107
2026-09-07 12:23:10,87.27,38.62,86.95,79.51,1.2949,int8,algo,datasets/imagenette2-320/val/n03028079/n03028079_32580.JPEG,church,church,True,0.4336,10.85,0.128
2026-09-07 12:23:11,92.36,38.61,89.77,79.51,1.3396,fp32,algo,datasets/imagenette2-320/val/n03028079/n03028079_14310.JPEG,church,bell cote,False,0.5985,35.58,0.108
2026-09-07 12:23:12,95.42,38.61,90.26,79.51,1.197,int8,algo,datasets/imagenette2-320/val/n03888257/n03888257_8160.JPEG,parachute,neck brace,False,0.0586,7.36,0.111
2026-09-07 12:23:13,97.25,38.6,90.16,79.51,1.2062,int8,algo,datasets/imagenette2-320/val/n03394916/n03394916_7951.JPEG,French horn,French horn,True,0.9805,11.57,0.118
2026-09-07 12:23:14,98.35,38.6,92.09,79.51,1.2186,fp32,algo,datasets/imagenette2-320/val/n03417042/n03417042_12560.JPEG,garbage truck,garbage truck,True,0.6707,35.2,0.108
2026-09-07 12:23:15,99.01,38.6,92.86,79.51,1.1282,int8,algo,datasets/imagenette2-320/val/n02102040/n02102040_352.JPEG,English springer,English springer,True,0.7109,7.56,0.108
2026-09-07 12:23:16,99.41,38.56,94.11,79.51,1.134,int8,algo,datasets/imagenette2-320/val/n03417042/n03417042_16370.JPEG,garbage truck,garbage truck,True,0.7461,7.73,0.109
2026-09-07 12:23:17,99.64,38.54,94.87,79.51,1.1376,int8,algo,datasets/imagenette2-320/val/n01440764/n01440764_32420.JPEG,tench,tench,True,0.1328,7.6,0.108
2026-09-07 12:23:18,99.79,38.56,95.32,79.51,1.1398,fp32,algo,datasets/imagenette2-320/val/n03417042/n03417042_19472.JPEG,garbage truck,garbage truck,True,0.5588,31.16,0.131
2026-09-07 12:23:19,99.87,38.58,94.39,79.51,1.0681,int8,algo,datasets/imagenette2-320/val/n02102040/n02102040_3640.JPEG,English springer,German short-haired pointer,False,0.5664,10.5,0.124
2026-09-07 12:23:20,99.92,38.59,94.24,79.51,1.0678,int8,algo,datasets/imagenette2-320/val/n03425413/n03425413_18942.JPEG,gas pump,gas pump,True,0.8047,8.05,0.122
2026-09-07 12:23:21,99.95,38.59,94.14,79.51,1.0676,int8,algo,datasets/imagenette2-320/val/n03028079/n03028079_10410.JPEG,church,lakeside,False,0.3047,9.85,0.104
2026-09-07 12:23:22,99.97,38.6,94.08,79.51,1.0675,fp32,algo,datasets/imagenette2-320/val/n02102040/n02102040_602.JPEG,English springer,English springer,True,0.537,35.44,0.124
2026-09-07 12:23:23,99.98,38.6,94.45,79.51,1.0132,int8,algo,datasets/imagenette2-320/val/n01440764/ILSVRC2012_val_00009111.JPEG,tench,tench,True,0.8281,7.38,0.123
2026-09-07 12:23:24,99.99,38.6,93.47,79.51,1.0105,int8,algo,datasets/imagenette2-320/val/n03028079/n03028079_1090.JPEG,church,bell cote,False,0.6289,8.88,0.109
2026-09-07 12:23:25,99.99,38.6,93.28,79.51,1.01,int8,algo,datasets/imagenette2-320/val/n03394916/ILSVRC2012_val_00004301.JPEG,French horn,French horn,True,0.9375,8.62,0.124
2026-09-07 12:23:26,100.0,38.6,93.17,79.51,1.0097,int8,algo,datasets/imagenette2-320/val/n03000684/n03000684_2060.JPEG,chain saw,chain saw,True,0.9648,7.96,0.108
2026-09-07 12:23:27,100.0,38.6,92.7,79.51,1.0085,int8,algo,datasets/imagenette2-320/val/n03425413/n03425413_19901.JPEG,gas pump,gas pump,True,0.7344,7.76,0.127
2026-09-07 12:23:28,100.0,38.6,94.02,79.51,1.012,int8,algo,datasets/imagenette2-320/val/n03445777/n03445777_15880.JPEG,golf ball,golf ball,True,0.9766,7.75,0.112
2026-09-07 12:23:29,100.0,38.6,93.21,79.51,1.0098,int8,algo,datasets/imagenette2-320/val/n03425413/n03425413_18252.JPEG,gas pump,gas pump,True,0.6719,11.99,0.112
2026-09-07 12:23:30,100.0,38.6,93.13,79.51,1.0096,int8,algo,datasets/imagenette2-320/val/n03028079/n03028079_7251.JPEG,church,monastery,False,0.5508,7.89,0.112
2026-09-07 12:23:32,100.0,38.6,93.88,79.51,1.0116,int8,algo,datasets/imagenette2-320/val/n03888257/n03888257_33021.JPEG,parachute,parachute,True,0.2852,13.43,0.119
2026-09-07 12:23:33,100.0,38.6,93.53,79.51,1.0107,int8,algo,datasets/imagenette2-320/val/n03000684/n03000684_10131.JPEG,chain saw,violin,False,0.3789,10.95,0.154
2026-09-07 12:23:34,100.0,38.6,94.12,79.51,1.0123,fp32,algo,datasets/imagenette2-320/val/n03417042/n03417042_9170.JPEG,garbage truck,garbage truck,True,0.6368,35.91,0.125
2026-09-07 12:23:35,100.0,38.6,92.07,79.51,0.9714,int8,algo,datasets/imagenette2-320/val/n03888257/n03888257_25460.JPEG,parachute,parachute,True,0.8594,11.45,0.118
2026-09-07 12:23:36,100.0,38.6,90.84,79.51,0.9687,int8,algo,datasets/imagenette2-320/val/n03425413/n03425413_18040.JPEG,gas pump,gas pump,True,0.9336,7.36,0.122
2026-09-07 12:23:37,100.0,38.6,91.7,79.51,0.9706,int8,algo,datasets/imagenette2-320/val/n03417042/n03417042_1850.JPEG,garbage truck,garbage truck,True,0.8359,10.83,0.146
2026-09-07 12:23:38,100.0,38.6,91.82,79.51,0.9708,int8,algo,datasets/imagenette2-320/val/n03394916/n03394916_8602.JPEG,French horn,French horn,True,0.8359,9.67,0.214
2026-09-07 12:23:39,90.38,38.59,88.84,79.51,0.9341,int8,algo,datasets/imagenette2-320/val/n03888257/n03888257_11452.JPEG,parachute,parachute,True,0.6133,2.82,0.225
2026-09-07 12:23:40,81.54,38.58,85.96,79.51,0.9026,int8,algo,datasets/imagenette2-320/val/n03000684/n03000684_33902.JPEG,chain saw,chain saw,True,0.4375,2.84,0.213
