timestamp,cpu,ram,temperature,health_score,model,label,confidence,latency_ms
2026-07-11 09:40:32,14.6,42.1,63.0,34.62,fp32,curly-coated retriever,0.5467,16.33
2026-07-11 09:40:33,13.52,42.08,62.4,33.9,fp32,curly-coated retriever,0.5467,14.31
2026-07-11 09:40:35,10.67,42.01,60.64,31.93,fp32,curly-coated retriever,0.5467,19.38
2026-07-11 09:40:37,9.2,41.96,59.98,30.99,fp32,curly-coated retriever,0.5467,21.9
2026-07-11 09:40:39,9.16,41.98,59.59,30.85,fp32,curly-coated retriever,0.5467,21.64
2026-07-11 09:40:40,8.02,41.95,59.35,30.2,fp32,curly-coated retriever,0.5467,13.59
2026-07-11 09:40:42,7.57,41.85,59.21,29.92,fp32,curly-coated retriever,0.5467,22.09
2026-07-11 09:40:43,7.3,41.87,58.73,29.64,fp32,curly-coated retriever,0.5467,18.2
2026-07-11 09:40:45,7.06,41.8,59.24,29.66,fp32,curly-coated retriever,0.5467,20.38
2026-07-11 09:40:46,6.52,41.8,58.74,29.24,fp32,curly-coated retriever,0.5467,12.83
2026-07-11 09:40:48,6.67,41.8,58.05,29.11,fp32,curly-coated retriever,0.5467,22.88
2026-07-11 09:40:50,16.0,41.84,61.84,34.92,fp32,curly-coated retriever,0.5467,37.77
2026-07-11 09:40:51,24.4,41.88,64.86,40.03,fp32,curly-coated retriever,0.5467,38.18
2026-07-11 09:40:53,31.96,41.89,67.87,44.72,fp32,curly-coated retriever,0.5467,33.74
2026-07-11 09:40:55,38.77,41.92,70.58,48.94,fp32,curly-coated retriever,0.5467,35.58
2026-07-11 09:40:56,63.26,42.03,79.15,63.78,fp32,curly-coated retriever,0.5467,39.62
2026-07-11 09:40:58,77.96,42.1,85.49,73.05,fp32,curly-coated retriever,0.5467,38.18
2026-07-11 09:40:59,86.77,42.14,89.29,78.6,fp32,curly-coated retriever,0.5467,29.12
2026-07-11 09:41:01,92.06,42.12,90.38,81.57,fp32,curly-coated retriever,0.5467,37.67
2026-07-11 09:41:03,95.24,42.15,91.03,83.36,fp32,curly-coated retriever,0.5467,37.48
2026-07-11 09:41:04,97.14,42.13,91.42,84.42,fp32,curly-coated retriever,0.5467,36.35
2026-07-11 09:41:06,98.29,42.08,92.45,85.3,fp32,curly-coated retriever,0.5467,37.22
2026-07-11 09:41:08,98.81,42.05,93.87,85.98,fp32,curly-coated retriever,0.5467,36.88
2026-07-11 09:41:09,99.29,42.07,93.92,86.23,fp32,curly-coated retriever,0.5467,35.7
2026-07-11 09:41:11,99.57,42.08,94.35,86.51,fp32,curly-coated retriever,0.5467,38.28
2026-07-11 09:41:13,99.74,42.09,94.61,86.67,int8,curly-coated retriever,0.4141,7.88
2026-07-11 09:41:14,99.85,42.09,94.77,86.77,int8,curly-coated retriever,0.4141,10.76
2026-07-11 09:41:16,99.91,42.14,94.46,86.72,int8,curly-coated retriever,0.4141,12.14
2026-07-11 09:41:17,99.94,42.2,94.68,86.81,int8,curly-coated retriever,0.4141,12.87
2026-07-11 09:41:19,99.97,42.24,94.81,86.88,int8,curly-coated retriever,0.4141,13.23
2026-07-11 09:41:20,90.72,42.23,92.23,81.47,int8,curly-coated retriever,0.4141,10.03
2026-07-11 09:41:22,83.03,42.2,89.6,76.83,int8,curly-coated retriever,0.4141,9.39
2026-07-11 09:41:24,75.41,42.18,87.24,72.31,int8,curly-coated retriever,0.4141,3.3
2026-07-11 09:41:25,68.55,42.16,85.12,68.24,int8,curly-coated retriever,0.4141,3.04
2026-07-11 09:41:27,43.89,42.05,77.07,53.48,int8,curly-coated retriever,0.4141,7.89
2026-07-11 09:41:28,28.98,41.99,71.84,44.44,int8,curly-coated retriever,0.4141,8.42
2026-07-11 09:41:30,20.11,42.0,68.71,39.07,int8,curly-coated retriever,0.4141,3.55
2026-07-11 09:41:31,15.82,42.0,66.82,36.36,int8,curly-coated retriever,0.4141,10.85
2026-07-11 09:41:33,12.57,41.92,65.69,34.38,int8,curly-coated retriever,0.4141,9.46
2026-07-11 09:41:35,10.06,41.95,64.22,32.69,int8,curly-coated retriever,0.4141,3.3
2026-07-11 09:41:36,8.88,41.97,62.93,31.71,int8,curly-coated retriever,0.4141,3.3
2026-07-11 09:41:38,11.17,41.9,62.16,32.61,int8,curly-coated retriever,0.4141,10.14
2026-07-11 09:41:39,10.34,41.82,61.69,32.04,int8,curly-coated retriever,0.4141,7.42
2026-07-11 09:41:41,9.12,41.81,61.02,31.23,int8,curly-coated retriever,0.4141,9.6
2026-07-11 09:41:43,9.11,41.81,61.81,31.46,fp32,curly-coated retriever,0.5467,22.46
2026-07-11 09:41:44,9.47,41.72,61.09,31.41,fp32,curly-coated retriever,0.5467,21.94
2026-07-11 09:41:46,8.96,41.75,60.25,30.91,fp32,curly-coated retriever,0.5467,18.82
2026-07-11 09:41:47,8.22,41.77,59.75,30.39,fp32,curly-coated retriever,0.5467,17.39
2026-07-11 09:41:49,7.49,41.78,59.05,29.82,fp32,curly-coated retriever,0.5467,13.0
2026-07-11 09:41:51,7.77,41.79,58.63,29.83,fp32,curly-coated retriever,0.5467,20.35
