timestamp,cpu,ram,temperature,health_score,model,label,confidence,latency_ms
2026-07-08 15:10:42,14.4,36.8,69.0,35.26,fp32,curly-coated retriever,0.5467,14.22
2026-07-08 15:10:43,2.9,36.7,53.0,24.69,fp32,curly-coated retriever,0.5467,12.61
2026-07-08 15:10:45,2.0,36.6,53.0,24.22,fp32,curly-coated retriever,0.5467,13.12
2026-07-08 15:10:46,0.9,36.3,51.0,23.01,fp32,curly-coated retriever,0.5467,12.38
2026-07-08 15:10:48,3.5,36.3,51.0,24.31,fp32,curly-coated retriever,0.5467,12.61
2026-07-08 15:10:50,1.0,36.2,51.0,23.04,fp32,curly-coated retriever,0.5467,13.72
2026-07-08 15:10:51,4.9,35.9,51.0,24.93,fp32,curly-coated retriever,0.5467,12.36
2026-07-08 15:19:28,8.2,38.5,57.0,0.6927,fp32,curly-coated retriever,0.5467,14.09
2026-07-08 15:19:30,21.8,39.1,83.0,0.9577,fp32,curly-coated retriever,0.5467,14.8
2026-07-08 15:19:32,4.8,38.6,58.0,0.6544,int8,alp,0.2422,9.26
2026-07-08 15:19:33,5.7,38.5,60.0,0.6689,fp32,curly-coated retriever,0.5467,13.23
2026-07-08 15:19:35,44.5,38.7,60.0,0.8163,fp32,curly-coated retriever,0.5467,12.96
2026-07-08 15:19:36,4.3,38.4,59.0,0.6498,fp32,curly-coated retriever,0.5467,13.27
2026-07-08 15:19:38,8.7,38.3,59.0,0.641,fp32,curly-coated retriever,0.5467,13.81
2026-07-08 15:19:39,3.9,38.3,57.0,0.6225,fp32,curly-coated retriever,0.5467,21.68
2026-07-08 15:19:41,100.0,38.4,92.0,1.4015,fp32,curly-coated retriever,0.5467,43.93
2026-07-08 15:19:43,100.0,38.4,95.0,1.0001,int8,alp,0.2422,13.71
2026-07-08 15:19:44,100.0,38.5,93.0,0.9912,fp32,curly-coated retriever,0.5467,35.07
2026-07-08 15:19:46,100.0,38.5,96.0,0.8501,int8,alp,0.2422,10.24
2026-07-08 15:19:47,100.0,38.4,94.0,0.8413,fp32,curly-coated retriever,0.5467,40.26
2026-07-08 15:19:49,100.0,38.4,99.0,0.7578,fp32,curly-coated retriever,0.5467,36.39
2026-07-08 15:19:51,100.0,38.5,96.0,0.6784,int8,alp,0.2422,10.45
2026-07-08 15:19:52,100.0,38.4,93.0,0.6666,fp32,curly-coated retriever,0.5467,36.8
2026-07-08 15:19:54,99.9,38.4,92.0,0.6179,int8,alp,0.2422,10.6
2026-07-08 15:19:56,100.0,38.3,98.0,0.641,fp32,curly-coated retriever,0.5467,41.68
2026-07-08 15:19:57,100.0,38.3,95.0,0.5847,int8,alp,0.2422,15.11
2026-07-08 15:19:59,100.0,38.2,91.0,0.5705,fp32,curly-coated retriever,0.5467,37.59
2026-07-08 15:20:00,100.0,38.2,94.0,0.5541,fp32,curly-coated retriever,0.5467,35.57
2026-07-08 15:20:02,100.0,38.2,94.0,0.533,int8,alp,0.2422,9.77
2026-07-08 15:20:04,100.0,38.3,95.0,0.5368,fp32,curly-coated retriever,0.5467,37.33
2026-07-08 15:20:05,100.0,38.3,96.0,0.5206,fp32,curly-coated retriever,0.5467,45.32
2026-07-08 15:20:07,100.0,38.3,95.0,0.4923,int8,alp,0.2422,8.44
2026-07-08 15:20:08,100.0,38.3,94.0,0.4888,fp32,curly-coated retriever,0.5467,38.73
