timestamp,cpu,ram,temperature,health_score,model,label,confidence,latency_ms
2026-07-14 22:32:50,46.0,45.0,58.0,-0.9618,int8,curly-coated retriever,0.4141,3.04
2026-07-14 22:32:51,44.14,45.02,58.0,-1.0827,int8,curly-coated retriever,0.4141,3.8
2026-07-14 22:32:52,44.44,45.05,58.0,1.2185,fp32,curly-coated retriever,0.5467,13.95
2026-07-14 22:32:53,45.07,45.07,58.0,0.2131,int8,curly-coated retriever,0.4141,3.69
2026-07-14 22:32:54,45.44,45.08,57.6,1.0511,fp32,curly-coated retriever,0.5467,13.36
2026-07-14 22:32:55,45.22,45.09,57.36,1.9571,fp32,curly-coated retriever,0.5467,13.4
2026-07-14 22:32:56,44.73,45.09,57.62,0.7153,fp32,curly-coated retriever,0.5467,14.25
2026-07-14 22:32:57,45.68,45.1,57.77,0.4566,int8,curly-coated retriever,0.4141,3.83
2026-07-14 22:32:58,44.57,45.1,57.86,0.3339,int8,curly-coated retriever,0.4141,3.19
2026-07-14 22:32:59,44.7,45.1,57.92,0.2376,int8,curly-coated retriever,0.4141,3.37
2026-07-14 22:33:00,44.78,45.1,57.55,0.2337,int8,curly-coated retriever,0.4141,3.89
2026-07-14 22:33:01,46.47,45.1,57.33,0.5697,fp32,curly-coated retriever,0.5467,14.08
2026-07-14 22:33:02,46.28,45.1,60.4,0.9625,fp32,curly-coated retriever,0.5467,13.13
2026-07-14 22:33:03,46.17,45.1,61.04,0.6764,fp32,curly-coated retriever,0.5467,13.13
2026-07-14 22:33:04,46.1,45.1,59.42,0.7429,fp32,curly-coated retriever,0.5467,13.22
2026-07-14 22:33:05,46.42,45.1,58.05,0.4911,fp32,curly-coated retriever,0.5467,15.28
2026-07-14 22:33:06,46.25,45.1,57.23,1.0213,fp32,curly-coated retriever,0.5467,13.68
2026-07-14 22:33:07,49.79,45.1,61.94,0.2883,int8,curly-coated retriever,0.4141,2.95
2026-07-14 22:33:08,47.03,45.14,59.56,0.3603,fp32,curly-coated retriever,0.5467,13.27
2026-07-14 22:33:09,47.06,45.16,58.54,0.3569,int8,curly-coated retriever,0.4141,3.74
2026-07-14 22:33:10,46.64,45.18,57.92,0.5964,int8,curly-coated retriever,0.4141,3.75
2026-07-14 22:33:11,45.58,45.15,57.55,1.0164,fp32,curly-coated retriever,0.5467,16.74
2026-07-14 22:33:12,41.47,45.21,57.33,0.8147,int8,curly-coated retriever,0.4141,3.89
2026-07-14 22:33:13,43.28,45.24,57.2,0.5318,int8,curly-coated retriever,0.4141,3.93
2026-07-14 22:33:14,43.57,45.27,56.72,0.9191,fp32,curly-coated retriever,0.5467,13.57
2026-07-14 22:33:15,44.18,45.24,56.43,0.6553,fp32,curly-coated retriever,0.5467,18.93
