timestamp,cpu,ram,temperature,battery,health_score,model,label,confidence,latency_ms,decision_time_ms
2026-07-23 14:39:39,3.9,34.0,47.0,76.35,22.85,fp32,curly-coated retriever,0.5467,24.16,0.012
2026-07-23 14:39:40,3.9,34.0,46.8,76.35,22.79,fp32,curly-coated retriever,0.5467,18.3,0.011
2026-07-23 14:39:42,3.9,34.0,47.28,76.33,22.93,fp32,curly-coated retriever,0.5467,18.04,0.013
2026-07-23 14:39:44,3.14,34.0,46.77,76.31,22.4,fp32,curly-coated retriever,0.5467,21.19,0.016
2026-07-23 14:39:45,4.32,34.0,46.46,76.31,22.9,fp32,curly-coated retriever,0.5467,22.58,0.012
2026-07-23 14:39:47,4.15,34.0,46.28,76.29,22.76,fp32,curly-coated retriever,0.5467,24.64,0.011
2026-07-23 14:39:49,4.05,34.0,46.17,76.29,22.68,fp32,curly-coated retriever,0.5467,18.99,0.011
2026-07-23 14:39:50,3.23,34.0,45.7,76.29,22.12,fp32,curly-coated retriever,0.5467,18.65,0.014
2026-07-23 14:39:52,10.31,34.17,45.83,76.27,25.74,fp32,curly-coated retriever,0.5467,21.73,0.005
2026-07-23 14:39:54,9.67,34.32,45.75,76.27,25.42,fp32,curly-coated retriever,0.5467,23.72,0.011
2026-07-23 14:39:55,9.3,34.46,45.77,76.24,25.27,fp32,curly-coated retriever,0.5467,22.79,0.01
2026-07-23 14:39:57,8.57,34.58,45.79,76.24,24.94,fp32,curly-coated retriever,0.5467,24.25,0.011
2026-07-23 14:39:58,7.91,34.7,45.72,76.24,24.61,fp32,curly-coated retriever,0.5467,19.04,0.012
2026-07-23 14:40:00,6.35,35.1,45.43,76.22,23.82,fp32,curly-coated retriever,0.5467,18.57,0.011
2026-07-23 14:40:02,5.37,35.3,45.26,76.22,23.32,fp32,curly-coated retriever,0.5467,24.05,0.016
2026-07-23 14:40:03,4.78,35.46,45.15,76.22,23.03,fp32,curly-coated retriever,0.5467,23.47,0.011
2026-07-23 14:40:05,4.51,35.56,44.69,76.2,22.77,fp32,curly-coated retriever,0.5467,24.37,0.011
2026-07-23 14:40:06,3.51,35.61,44.82,76.2,22.32,fp32,curly-coated retriever,0.5467,24.33,0.01
2026-07-23 14:40:08,2.9,35.65,44.89,76.2,22.05,fp32,curly-coated retriever,0.5467,24.46,0.012
2026-07-23 14:40:10,3.34,35.67,44.93,76.2,22.28,fp32,curly-coated retriever,0.5467,24.29,0.012
2026-07-23 14:40:11,2.81,35.68,45.36,76.18,22.15,fp32,curly-coated retriever,0.5467,22.48,0.006
2026-07-23 14:40:13,3.24,35.69,44.82,76.18,22.2,fp32,curly-coated retriever,0.5467,18.41,0.011
