timestamp,cpu,ram,temperature,battery,health_score,model,label,confidence,latency_ms,decision_time_ms
2026-07-23 17:27:46,10.0,35.8,45.0,47.8,1.2527,fp32,curly-coated retriever,0.5467,27.87,0.345
2026-07-23 17:27:47,12.4,35.84,45.0,47.8,1.1344,int8,curly-coated retriever,0.4141,6.87,0.251
2026-07-23 17:27:48,9.08,35.9,45.0,47.8,1.1319,int8,curly-coated retriever,0.4141,9.02,0.201
2026-07-23 17:27:49,9.45,35.94,45.0,47.78,1.1321,fp32,curly-coated retriever,0.5467,30.75,0.158
2026-07-23 17:27:50,11.39,35.97,45.0,47.78,1.0496,fp32,curly-coated retriever,0.5467,30.27,0.191
2026-07-23 17:27:51,10.11,35.98,44.6,47.78,0.993,int8,curly-coated retriever,0.4141,10.51,0.179
2026-07-23 17:27:52,10.07,35.99,44.36,47.76,0.9922,fp32,curly-coated retriever,0.5467,31.6,0.189
2026-07-23 17:27:53,10.04,35.99,44.22,47.74,0.9521,int8,curly-coated retriever,0.4141,9.64,0.183
2026-07-23 17:27:54,10.9,36.0,44.13,47.74,0.9525,fp32,curly-coated retriever,0.5467,30.46,0.188
2026-07-23 17:27:55,10.54,36.0,44.08,47.74,0.9229,int8,curly-coated retriever,0.4141,5.96,0.18
2026-07-23 17:27:56,9.61,36.04,44.85,47.74,0.9245,int8,curly-coated retriever,0.4141,6.23,0.176
2026-07-23 17:27:57,11.48,36.02,44.51,47.71,0.9247,fp32,curly-coated retriever,0.5467,29.3,0.2
2026-07-23 17:27:58,12.49,36.05,44.7,47.71,0.9034,int8,curly-coated retriever,0.4141,5.96,0.16
2026-07-23 17:27:59,10.69,36.07,44.42,47.69,0.9012,fp32,curly-coated retriever,0.5467,25.07,0.224
2026-07-23 17:28:00,11.22,36.08,44.25,47.69,0.8847,int8,curly-coated retriever,0.4141,5.67,0.18
2026-07-23 17:28:01,10.81,36.09,44.55,47.67,0.8851,fp32,curly-coated retriever,0.5467,26.65,0.183
2026-07-23 17:28:02,11.29,36.09,44.33,47.67,0.8702,int8,curly-coated retriever,0.4141,9.7,0.211
2026-07-23 17:28:03,11.57,36.1,44.2,47.67,0.8702,fp32,curly-coated retriever,0.5467,27.04,0.249
2026-07-23 17:28:04,10.26,36.06,44.12,47.67,0.8561,fp32,curly-coated retriever,0.5467,20.72,0.214
2026-07-23 17:28:05,11.88,36.03,44.47,47.65,0.8492,int8,curly-coated retriever,0.4141,10.69,0.231
2026-07-23 17:28:06,12.01,36.02,44.28,47.65,0.8489,fp32,curly-coated retriever,0.5467,27.1,0.228
2026-07-23 17:28:08,10.4,36.01,44.17,47.62,0.8371,int8,curly-coated retriever,0.4141,5.01,0.261
2026-07-23 17:28:09,9.44,36.01,44.1,47.62,0.8367,fp32,curly-coated retriever,0.5467,25.39,0.202
2026-07-23 17:28:10,12.87,36.0,44.06,47.6,0.8307,int8,curly-coated retriever,0.4141,6.52,0.23
2026-07-23 17:28:11,12.6,36.0,44.04,47.6,0.8303,fp32,curly-coated retriever,0.5467,30.5,0.226
2026-07-23 17:28:12,11.56,36.0,44.02,47.6,0.8199,int8,curly-coated retriever,0.4141,11.01,0.262
2026-07-23 17:28:13,9.38,36.0,44.01,47.58,0.8189,fp32,curly-coated retriever,0.5467,29.79,0.192
2026-07-23 17:28:14,11.23,36.0,44.01,47.58,0.8117,int8,curly-coated retriever,0.4141,9.57,0.243
2026-07-23 17:28:15,10.82,35.96,44.0,47.56,0.8112,fp32,curly-coated retriever,0.5467,29.0,0.205
2026-07-23 17:28:16,11.37,35.98,44.0,47.56,0.8046,int8,curly-coated retriever,0.4141,7.36,0.269
2026-07-23 17:28:17,11.7,35.95,44.0,47.56,0.8049,fp32,curly-coated retriever,0.5467,29.22,0.178
2026-07-23 17:28:18,13.3,35.93,43.6,47.54,0.7994,int8,curly-coated retriever,0.4141,7.77,0.195
2026-07-23 17:28:19,11.18,35.92,44.16,47.54,0.7982,fp32,curly-coated retriever,0.5467,28.61,0.189
2026-07-23 17:28:20,11.43,35.91,43.7,47.54,0.7916,int8,curly-coated retriever,0.4141,9.7,0.259
2026-07-23 17:28:21,17.14,35.95,43.56,47.54,0.8026,fp32,curly-coated retriever,0.5467,88.6,0.228
2026-07-23 17:28:22,25.43,35.97,44.0,47.51,0.8203,int8,curly-coated retriever,0.4141,25.08,0.258
2026-07-23 17:28:23,32.89,35.99,44.4,47.51,0.8687,fp32,curly-coated retriever,0.5467,87.87,0.257
2026-07-23 17:28:24,39.6,36.0,44.76,47.47,0.8799,int8,curly-coated retriever,0.4141,24.01,0.265
2026-07-23 17:28:25,45.64,36.02,45.09,47.47,0.9261,int8,curly-coated retriever,0.4141,23.96,0.275
2026-07-23 17:28:26,67.38,36.09,46.25,47.45,1.1105,fp32,curly-coated retriever,0.5467,82.93,3.765
2026-07-23 17:28:27,80.43,36.13,46.95,47.4,1.0364,int8,curly-coated retriever,0.4141,25.59,0.249
2026-07-23 17:28:28,88.26,36.2,47.77,47.4,1.09,int8,curly-coated retriever,0.4141,25.47,0.253
2026-07-23 17:28:29,92.95,36.24,47.86,47.38,1.1218,fp32,curly-coated retriever,0.5467,68.5,0.259
2026-07-23 17:28:30,95.77,36.3,47.92,47.36,0.9754,int8,curly-coated retriever,0.4141,21.38,0.221
2026-07-23 17:28:31,97.46,36.34,49.15,47.36,0.986,int8,curly-coated retriever,0.4141,22.53,0.211
2026-07-23 17:28:32,98.48,36.33,49.89,47.36,0.9924,int8,curly-coated retriever,0.4141,20.39,0.212
2026-07-23 17:28:34,99.09,36.32,49.93,47.34,0.9954,fp32,curly-coated retriever,0.5467,83.65,0.223
2026-07-23 17:28:35,99.45,36.31,49.56,47.31,0.8644,int8,curly-coated retriever,0.4141,24.51,0.266
2026-07-23 17:28:36,99.67,36.35,49.34,47.29,0.8648,int8,curly-coated retriever,0.4141,23.71,0.264
2026-07-23 17:28:37,99.8,36.33,49.2,47.27,0.865,int8,curly-coated retriever,0.4141,23.13,0.238
2026-07-23 17:28:38,99.88,36.32,49.12,47.25,0.8651,int8,curly-coated retriever,0.4141,23.86,0.237
2026-07-23 17:28:39,99.93,36.31,49.87,47.22,0.8665,int8,curly-coated retriever,0.4141,23.98,0.268
2026-07-23 17:28:40,99.96,36.35,49.92,47.22,0.8668,int8,curly-coated retriever,0.4141,23.4,0.249
2026-07-23 17:28:41,99.97,36.33,49.95,47.18,0.8668,fp32,curly-coated retriever,0.5467,62.23,0.263
2026-07-23 17:28:42,99.98,36.32,49.97,47.18,0.8099,int8,curly-coated retriever,0.4141,20.64,0.263
2026-07-23 17:28:43,99.99,36.31,49.58,47.18,0.8093,int8,curly-coated retriever,0.4141,28.03,0.252
2026-07-23 17:28:44,99.99,36.31,49.75,47.16,0.8095,int8,curly-coated retriever,0.4141,24.41,0.233
2026-07-23 17:28:45,100.0,36.34,49.85,47.14,0.8097,int8,curly-coated retriever,0.4141,23.16,0.246
2026-07-23 17:28:46,100.0,36.33,50.71,47.11,0.8113,int8,curly-coated retriever,0.4141,25.8,0.254
2026-07-23 17:28:47,100.0,36.32,50.43,47.11,0.8107,int8,curly-coated retriever,0.4141,25.02,0.275
2026-07-23 17:28:48,100.0,36.31,49.86,47.09,0.8096,fp32,curly-coated retriever,0.5467,78.91,0.258
2026-07-23 17:28:49,100.0,36.31,50.31,47.07,0.7482,int8,curly-coated retriever,0.4141,25.92,0.25
2026-07-23 17:28:50,100.0,36.34,50.19,47.05,0.748,int8,curly-coated retriever,0.4141,23.96,0.257
2026-07-23 17:28:51,100.0,36.37,50.11,47.05,0.7479,int8,curly-coated retriever,0.4141,20.42,0.223
2026-07-23 17:28:52,100.0,36.38,50.47,47.02,0.7485,int8,curly-coated retriever,0.4141,23.17,0.233
2026-07-23 17:28:53,100.0,36.35,50.68,47.0,0.7488,int8,curly-coated retriever,0.4141,23.37,0.231
2026-07-23 17:28:54,100.0,36.33,50.81,47.0,0.7491,int8,curly-coated retriever,0.4141,22.8,0.216
2026-07-23 17:28:55,100.0,36.36,50.89,46.96,0.7492,int8,curly-coated retriever,0.4141,10.91,0.237
2026-07-23 17:28:56,91.2,36.33,50.5,46.96,0.7292,int8,curly-coated retriever,0.4141,5.13,0.254
2026-07-23 17:28:57,83.08,36.31,50.25,46.94,0.7123,int8,curly-coated retriever,0.4141,4.89,0.276
2026-07-23 17:28:59,75.75,36.28,49.92,46.94,0.6983,int8,curly-coated retriever,0.4141,11.12,0.228
2026-07-23 17:29:00,69.43,36.25,49.63,46.94,0.6877,int8,curly-coated retriever,0.4141,7.45,0.262
2026-07-23 17:29:01,47.26,36.15,48.98,46.94,0.6687,int8,curly-coated retriever,0.4141,6.45,0.234
2026-07-23 17:29:02,32.35,36.09,48.59,46.91,0.6812,int8,curly-coated retriever,0.4141,6.33,0.284
2026-07-23 17:29:03,25.69,36.05,47.55,46.91,0.6928,int8,curly-coated retriever,0.4141,12.04,0.241
2026-07-23 17:29:04,19.5,36.03,47.73,46.89,0.7126,int8,curly-coated retriever,0.4141,8.51,0.206
2026-07-23 17:29:05,17.3,36.1,46.64,46.89,0.7173,int8,curly-coated retriever,0.4141,6.39,0.267
2026-07-23 17:29:06,15.26,36.14,46.38,46.87,0.7245,int8,curly-coated retriever,0.4141,9.17,0.192
2026-07-23 17:29:07,13.95,36.2,46.23,46.87,0.7295,int8,curly-coated retriever,0.4141,10.89,0.282
2026-07-23 17:29:08,12.21,36.2,45.74,46.85,0.7355,int8,curly-coated retriever,0.4141,6.78,0.19
2026-07-23 17:29:09,12.13,36.16,45.44,46.85,0.7349,int8,curly-coated retriever,0.4141,6.55,0.201
2026-07-23 17:29:10,14.32,36.1,45.67,46.85,0.7262,int8,curly-coated retriever,0.4141,7.46,0.201
2026-07-23 17:29:11,12.51,36.1,45.8,46.83,0.7341,int8,curly-coated retriever,0.4141,9.94,0.199
2026-07-23 17:29:12,9.91,36.1,45.88,46.83,0.7458,fp32,curly-coated retriever,0.5467,28.98,0.252
2026-07-23 17:29:13,13.94,36.1,45.93,46.83,0.7255,int8,curly-coated retriever,0.4141,9.22,0.18
