timestamp,cpu,ram,temperature,battery,health_score,model,label,confidence,latency_ms,decision_time_ms
2026-07-23 17:31:14,8.0,36.2,46.0,45.54,1.2476,fp32,curly-coated retriever,0.5467,34.48,0.351
2026-07-23 17:31:15,12.0,36.22,46.0,45.54,1.1166,int8,curly-coated retriever,0.4141,6.61,0.24
2026-07-23 17:31:16,10.48,36.25,45.6,45.52,1.1138,int8,curly-coated retriever,0.4141,6.31,0.192
2026-07-23 17:31:17,8.73,36.23,45.36,45.52,1.1116,fp32,curly-coated retriever,0.5467,28.07,0.263
2026-07-23 17:31:18,8.44,36.22,44.82,45.49,1.0367,int8,curly-coated retriever,0.4141,6.53,0.194
2026-07-23 17:31:19,7.46,36.21,44.89,45.49,1.0364,fp32,curly-coated retriever,0.5467,27.95,0.196
2026-07-23 17:31:20,8.56,36.21,44.93,45.49,0.9885,int8,curly-coated retriever,0.4141,6.26,0.188
2026-07-23 17:31:21,8.41,36.2,44.96,45.47,0.9884,fp32,curly-coated retriever,0.5467,28.3,0.196
2026-07-23 17:31:22,13.69,36.16,44.98,45.47,0.9583,int8,curly-coated retriever,0.4141,9.63,0.199
2026-07-23 17:31:23,11.49,36.18,44.99,45.45,0.9551,fp32,curly-coated retriever,0.5467,35.77,0.267
2026-07-23 17:31:24,13.18,36.15,44.99,45.45,0.9234,int8,curly-coated retriever,0.4141,6.15,0.265
2026-07-23 17:31:25,10.35,36.13,44.99,45.43,0.9199,fp32,curly-coated retriever,0.5467,29.18,0.23
2026-07-23 17:31:26,9.53,36.16,45.0,45.43,0.8973,int8,curly-coated retriever,0.4141,6.47,0.215
2026-07-23 17:31:27,9.0,36.13,45.0,45.43,0.8969,fp32,curly-coated retriever,0.5467,28.53,0.269
2026-07-23 17:31:28,8.68,36.16,45.0,45.43,0.8789,int8,curly-coated retriever,0.4141,6.07,0.295
2026-07-23 17:31:29,11.37,36.14,45.0,45.4,0.8809,fp32,curly-coated retriever,0.5467,26.91,0.196
2026-07-23 17:31:30,11.62,36.16,45.0,45.4,0.8669,int8,curly-coated retriever,0.4141,10.04,0.23
2026-07-23 17:31:31,10.25,36.18,45.0,45.38,0.8655,fp32,curly-coated retriever,0.5467,26.62,0.176
2026-07-23 17:31:32,11.63,36.23,45.4,45.38,0.8558,int8,curly-coated retriever,0.4141,5.87,0.287
