timestamp,cpu,ram,temperature,battery,health_score,model,label,confidence,latency_ms,decision_time_ms
2026-07-23 17:26:02,2.0,35.7,42.0,48.87,1.3768,fp32,curly-coated retriever,0.5467,23.77,7.969
2026-07-23 17:26:03,5.6,35.74,42.0,48.87,-0.1836,int8,curly-coated retriever,0.4141,3.83,0.892
2026-07-23 17:26:04,4.16,35.8,42.0,48.87,1.4031,fp32,curly-coated retriever,0.5467,22.52,0.471
2026-07-23 17:26:05,3.3,35.84,41.6,48.85,-1.0071,int8,curly-coated retriever,0.4141,10.77,0.856
2026-07-23 17:26:06,3.54,35.87,41.36,48.85,-0.3389,int8,curly-coated retriever,0.4141,6.43,0.694
2026-07-23 17:26:07,3.68,35.88,41.22,48.85,0.9046,fp32,curly-coated retriever,0.5467,18.59,1.054
2026-07-23 17:26:08,3.73,35.89,41.53,48.85,0.9228,int8,curly-coated retriever,0.4141,4.22,0.731
2026-07-23 17:26:09,2.24,35.89,41.72,48.82,0.8162,fp32,curly-coated retriever,0.5467,30.16,0.836
2026-07-23 17:26:10,2.14,35.9,41.43,48.82,-0.0786,fp32,curly-coated retriever,0.5467,27.81,0.704
2026-07-23 17:26:11,3.73,35.94,41.26,48.82,0.5098,fp32,curly-coated retriever,0.5467,18.61,0.813
2026-07-23 17:26:12,3.8,35.96,41.96,48.82,0.8175,fp32,curly-coated retriever,0.5467,17.88,0.787
2026-07-23 17:26:13,3.84,35.98,41.57,48.82,1.3644,fp32,curly-coated retriever,0.5467,18.52,0.77
2026-07-23 17:26:14,3.9,35.99,41.34,48.8,0.0441,int8,curly-coated retriever,0.4141,4.77,0.722
2026-07-23 17:26:15,3.9,35.99,41.21,48.8,-0.2255,int8,curly-coated retriever,0.4141,4.08,0.826
2026-07-23 17:26:16,3.86,36.0,40.72,48.8,0.3397,int8,curly-coated retriever,0.4141,10.19,0.793
2026-07-23 17:26:17,4.68,36.0,40.43,48.8,0.5204,fp32,curly-coated retriever,0.5467,18.02,0.762
2026-07-23 17:26:18,3.61,36.0,40.66,48.8,0.7125,fp32,curly-coated retriever,0.5467,19.12,0.679
2026-07-23 17:26:19,2.96,36.0,41.2,48.78,0.2976,int8,curly-coated retriever,0.4141,4.0,0.766
2026-07-23 17:26:20,2.58,36.0,41.12,48.78,0.3085,int8,curly-coated retriever,0.4141,4.53,0.788
2026-07-23 17:26:21,3.15,36.0,41.07,48.78,0.372,int8,curly-coated retriever,0.4141,9.25,0.787
2026-07-23 17:26:22,2.69,35.96,41.44,48.78,0.6223,fp32,curly-coated retriever,0.5467,18.9,0.786
2026-07-23 17:26:23,2.41,35.98,41.27,48.76,0.2561,int8,curly-coated retriever,0.4141,3.89,0.818
2026-07-23 17:26:24,11.05,35.99,41.56,48.76,0.9281,fp32,curly-coated retriever,0.5467,26.92,0.729
2026-07-23 17:26:25,9.03,35.99,41.34,48.76,0.3234,fp32,curly-coated retriever,0.5467,20.53,0.886
2026-07-23 17:26:26,6.22,35.99,41.6,48.76,0.6075,fp32,curly-coated retriever,0.5467,18.64,0.781
2026-07-23 17:26:27,5.29,35.96,41.76,48.76,0.5621,fp32,curly-coated retriever,0.5467,18.4,0.84
2026-07-23 17:26:28,4.69,35.93,41.46,48.76,0.22,int8,curly-coated retriever,0.4141,10.16,0.786
2026-07-23 17:26:29,5.22,35.92,41.27,48.73,1.0274,fp32,curly-coated retriever,0.5467,18.38,0.804
2026-07-23 17:26:30,5.57,35.91,41.16,48.73,0.8762,fp32,curly-coated retriever,0.5467,19.77,0.828
2026-07-23 17:26:31,4.9,35.91,41.1,48.73,0.0669,int8,curly-coated retriever,0.4141,11.1,0.869
2026-07-23 17:26:32,3.74,35.86,40.66,48.73,0.5881,fp32,curly-coated retriever,0.5467,18.55,0.795
2026-07-23 17:26:33,3.8,35.84,40.4,48.71,0.6975,int8,curly-coated retriever,0.4141,4.84,0.827
2026-07-23 17:26:34,3.08,35.82,40.24,48.71,0.3755,int8,curly-coated retriever,0.4141,10.13,0.957
2026-07-23 17:26:35,3.37,35.85,40.54,48.71,0.438,int8,curly-coated retriever,0.4141,4.84,0.844
2026-07-23 17:26:37,13.5,35.88,41.43,48.71,0.6849,fp32,curly-coated retriever,0.5467,70.29,0.739
2026-07-23 17:26:38,22.15,35.89,41.99,48.69,1.0745,fp32,curly-coated retriever,0.5467,75.95,0.706
2026-07-23 17:26:39,29.93,35.91,42.49,48.69,0.1587,int8,curly-coated retriever,0.4141,23.44,0.655
2026-07-23 17:26:40,36.94,35.91,42.84,48.67,0.211,fp32,curly-coated retriever,0.5467,78.34,0.715
2026-07-23 17:26:41,49.55,35.93,43.87,48.67,0.0617,int8,curly-coated retriever,0.4141,19.42,0.697
2026-07-23 17:26:42,69.73,35.96,45.12,48.65,0.5236,fp32,curly-coated retriever,0.5467,74.83,0.646
2026-07-23 17:26:43,81.84,35.98,45.87,48.62,-0.047,fp32,curly-coated retriever,0.5467,76.03,0.66
2026-07-23 17:26:44,89.1,35.99,46.72,48.62,-0.5048,int8,curly-coated retriever,0.4141,23.55,0.783
2026-07-23 17:26:45,93.46,35.99,47.23,48.62,-0.2271,int8,curly-coated retriever,0.4141,18.6,0.628
2026-07-23 17:26:46,96.08,35.99,47.54,48.6,0.1071,int8,curly-coated retriever,0.4141,21.78,0.678
2026-07-23 17:26:47,97.65,36.0,47.32,48.58,0.5163,int8,curly-coated retriever,0.4141,22.88,0.669
2026-07-23 17:26:48,98.59,36.0,47.59,48.56,0.5075,int8,curly-coated retriever,0.4141,18.15,0.751
2026-07-23 17:26:49,99.15,36.0,48.16,48.56,0.7537,fp32,curly-coated retriever,0.5467,73.39,0.675
2026-07-23 17:26:50,99.49,36.0,48.49,48.53,-0.0642,int8,curly-coated retriever,0.4141,18.38,0.829
2026-07-23 17:26:51,99.69,36.0,48.3,48.51,0.1723,fp32,curly-coated retriever,0.5467,76.43,0.703
2026-07-23 17:26:52,99.82,36.0,48.58,48.51,0.3986,int8,curly-coated retriever,0.4141,18.36,0.637
2026-07-23 17:26:53,99.89,36.0,48.75,48.47,0.7338,int8,curly-coated retriever,0.4141,19.2,0.639
2026-07-23 17:26:54,99.93,36.04,48.45,48.47,0.3935,int8,curly-coated retriever,0.4141,22.92,0.643
2026-07-23 17:26:55,99.96,36.06,48.27,48.47,0.9283,int8,curly-coated retriever,0.4141,23.14,0.728
2026-07-23 17:26:56,99.98,36.08,48.56,48.45,0.4638,int8,curly-coated retriever,0.4141,22.4,0.705
