timestamp,cpu,ram,temperature,health_score,model,label,confidence,latency_ms,decision_time_ms
2026-07-20 18:32:08,14.3,37.9,60.0,0.78,fp32,curly-coated retriever,0.5467,15.1,0.283
2026-07-20 18:32:09,13.84,37.92,60.0,0.7798,fp32,curly-coated retriever,0.5467,13.08,0.12
2026-07-20 18:32:10,10.7,37.95,59.6,0.7866,fp32,curly-coated retriever,0.5467,13.86,0.098
2026-07-20 18:32:11,10.34,37.97,59.36,0.7855,fp32,curly-coated retriever,0.5467,12.62,0.088
2026-07-20 18:32:12,10.81,37.98,59.22,0.7824,fp32,curly-coated retriever,0.5467,12.86,0.078
2026-07-20 18:32:13,10.48,37.95,59.13,0.7817,fp32,curly-coated retriever,0.5467,13.54,0.131
2026-07-20 18:32:14,9.49,37.93,59.08,0.783,fp32,curly-coated retriever,0.5467,12.8,0.087
2026-07-20 18:32:15,8.89,37.84,59.45,0.7843,fp32,curly-coated retriever,0.5467,12.74,0.096
2026-07-20 18:32:16,6.98,37.82,58.87,0.7872,fp32,curly-coated retriever,0.5467,12.78,0.094
2026-07-20 18:32:17,6.55,37.77,58.52,0.7859,int8,curly-coated retriever,0.4141,2.99,0.089
2026-07-20 18:32:18,5.53,37.74,57.91,0.7875,fp32,curly-coated retriever,0.5467,20.67,0.185
2026-07-20 18:32:19,8.12,37.73,57.55,0.7764,int8,curly-coated retriever,0.4141,2.93,0.108
2026-07-20 18:32:20,6.47,37.72,57.33,0.7806,fp32,curly-coated retriever,0.5467,12.59,0.077
2026-07-20 18:32:21,7.0,37.71,57.6,0.7783,fp32,curly-coated retriever,0.5467,12.36,0.08
2026-07-20 18:32:22,13.3,37.71,57.44,0.7611,int8,curly-coated retriever,0.4141,10.29,0.204
2026-07-20 18:32:23,12.57,37.69,57.59,0.7627,int8,curly-coated retriever,0.4141,3.64,0.204
2026-07-20 18:32:24,12.11,37.67,57.53,0.7636,fp32,curly-coated retriever,0.5467,12.29,0.219
2026-07-20 18:32:25,11.9,37.65,57.48,0.7632,fp32,curly-coated retriever,0.5467,23.74,0.219
2026-07-20 18:32:26,11.73,37.64,57.43,0.7616,int8,curly-coated retriever,0.4141,10.64,0.226
2026-07-20 18:32:27,8.68,37.58,57.66,0.7694,fp32,curly-coated retriever,0.5467,12.54,0.217
2026-07-20 18:32:28,7.61,37.55,57.4,0.7708,fp32,curly-coated retriever,0.5467,12.37,0.232
2026-07-20 18:32:29,6.96,37.53,57.24,0.7712,fp32,curly-coated retriever,0.5467,12.29,0.214
2026-07-20 18:32:30,8.26,37.48,57.14,0.7662,fp32,curly-coated retriever,0.5467,13.64,0.22
2026-07-20 18:32:31,7.36,37.45,56.69,0.7667,fp32,curly-coated retriever,0.5467,13.04,0.222
2026-07-20 18:32:32,7.49,37.43,56.81,0.7655,fp32,curly-coated retriever,0.5467,13.3,0.086
2026-07-20 18:32:33,6.1,37.38,56.49,0.7676,fp32,curly-coated retriever,0.5467,15.35,0.228
2026-07-20 18:32:34,5.26,37.43,56.29,0.7684,fp32,curly-coated retriever,0.5467,13.99,0.214
2026-07-20 18:32:35,4.75,37.46,56.18,0.7686,int8,curly-coated retriever,0.4141,3.59,0.079
2026-07-20 18:32:36,4.45,37.47,56.11,0.7693,fp32,curly-coated retriever,0.5467,13.26,0.198
2026-07-20 18:32:37,5.11,37.48,56.06,0.7662,fp32,curly-coated retriever,0.5467,15.16,0.196
2026-07-20 18:32:38,15.11,37.49,58.85,0.7467,int8,curly-coated retriever,0.4141,3.6,0.199
2026-07-20 18:32:39,12.87,37.47,58.28,0.7501,int8,curly-coated retriever,0.4141,7.76,0.203
2026-07-20 18:32:40,11.47,37.48,58.02,0.7527,int8,curly-coated retriever,0.4141,3.0,0.072
2026-07-20 18:32:41,10.38,37.48,57.62,0.7544,fp32,curly-coated retriever,0.5467,14.82,0.203
2026-07-20 18:32:42,9.12,37.48,57.1,0.7557,fp32,curly-coated retriever,0.5467,35.64,0.14
2026-07-20 18:32:43,18.21,37.51,60.69,0.7416,int8,curly-coated retriever,0.4141,10.69,0.109
2026-07-20 18:32:44,26.39,37.53,64.02,0.7384,int8,curly-coated retriever,0.4141,12.1,0.15
2026-07-20 18:32:45,33.75,37.55,67.02,0.7415,int8,curly-coated retriever,0.4141,12.0,0.117
2026-07-20 18:32:46,40.38,37.58,69.71,0.7486,fp32,curly-coated retriever,0.5467,33.9,0.112
2026-07-20 18:32:47,64.23,37.63,81.03,0.7993,fp32,curly-coated retriever,0.5467,36.25,0.112
2026-07-20 18:32:48,78.54,37.66,85.82,0.8281,int8,curly-coated retriever,0.4141,12.41,0.134
2026-07-20 18:32:49,87.12,37.67,89.09,0.8514,int8,curly-coated retriever,0.4141,10.66,0.126
2026-07-20 18:32:50,92.27,37.72,91.05,0.8659,int8,curly-coated retriever,0.4141,11.03,0.122
2026-07-20 18:32:51,95.36,37.75,92.23,0.8748,int8,curly-coated retriever,0.4141,12.97,0.12
2026-07-20 18:32:53,97.22,37.77,93.34,0.8812,fp32,curly-coated retriever,0.5467,37.51,0.125
2026-07-20 18:32:54,98.33,37.78,93.6,0.8686,int8,curly-coated retriever,0.4141,8.15,0.136
2026-07-20 18:32:55,99.0,37.79,93.76,0.8702,int8,curly-coated retriever,0.4141,11.55,0.138
2026-07-20 18:32:56,99.4,37.75,93.86,0.8711,int8,curly-coated retriever,0.4141,11.94,0.125
2026-07-20 18:32:57,99.64,37.73,93.51,0.8705,int8,curly-coated retriever,0.4141,12.74,0.116
2026-07-20 18:32:58,99.78,37.72,93.31,0.8702,int8,curly-coated retriever,0.4141,12.9,0.117
2026-07-20 18:32:59,99.87,37.67,93.59,0.871,int8,curly-coated retriever,0.4141,13.8,0.118
2026-07-20 18:33:00,99.92,37.68,92.55,0.8686,fp32,curly-coated retriever,0.5467,44.88,0.157
2026-07-20 18:33:01,99.95,37.65,93.13,0.8517,int8,curly-coated retriever,0.4141,7.85,0.11
2026-07-20 18:33:02,99.97,37.63,93.88,0.8536,int8,curly-coated retriever,0.4141,9.95,0.119
2026-07-20 18:33:03,99.98,37.62,94.33,0.8548,int8,curly-coated retriever,0.4141,9.19,0.139
2026-07-20 18:33:04,99.99,37.61,94.6,0.8556,int8,curly-coated retriever,0.4141,7.88,0.123
2026-07-20 18:33:05,99.99,37.61,94.36,0.8549,int8,curly-coated retriever,0.4141,13.95,0.135
2026-07-20 18:33:06,100.0,37.64,95.01,0.8568,int8,curly-coated retriever,0.4141,14.87,0.119
2026-07-20 18:33:07,100.0,37.67,94.61,0.8557,int8,curly-coated retriever,0.4141,13.51,0.116
2026-07-20 18:33:08,100.0,37.68,94.37,0.8551,fp32,curly-coated retriever,0.5467,40.68,0.109
2026-07-20 18:33:09,100.0,37.69,93.82,0.8393,int8,curly-coated retriever,0.4141,7.68,0.122
2026-07-20 18:33:10,100.0,37.69,93.49,0.8385,int8,curly-coated retriever,0.4141,11.31,0.131
2026-07-20 18:33:11,100.0,37.7,93.69,0.839,int8,curly-coated retriever,0.4141,11.56,0.128
2026-07-20 18:33:12,100.0,37.7,93.82,0.8393,int8,curly-coated retriever,0.4141,11.18,0.121
2026-07-20 18:33:13,100.0,37.7,93.89,0.8395,int8,curly-coated retriever,0.4141,11.69,0.127
2026-07-20 18:33:14,100.0,37.7,93.13,0.8376,int8,curly-coated retriever,0.4141,11.35,0.139
2026-07-20 18:33:15,100.0,37.7,93.48,0.8385,int8,curly-coated retriever,0.4141,9.55,0.12
2026-07-20 18:33:16,100.0,37.78,93.29,0.8381,int8,curly-coated retriever,0.4141,9.08,0.16
2026-07-20 18:33:17,95.2,37.71,92.77,0.8302,fp32,curly-coated retriever,0.5467,27.39,0.219
2026-07-20 18:33:18,86.86,37.7,90.0,0.8076,int8,curly-coated retriever,0.4141,9.54,0.18
2026-07-20 18:33:19,78.78,37.69,87.5,0.7925,fp32,curly-coated retriever,0.5467,13.72,0.221
2026-07-20 18:33:20,71.31,37.68,85.15,0.7801,fp32,curly-coated retriever,0.5467,23.16,0.212
2026-07-20 18:33:21,64.78,37.66,82.93,0.7679,int8,curly-coated retriever,0.4141,2.97,0.076
2026-07-20 18:33:22,39.67,37.64,74.96,0.7482,int8,curly-coated retriever,0.4141,4.85,0.196
2026-07-20 18:33:23,26.2,37.62,70.18,0.7526,int8,curly-coated retriever,0.4141,6.95,0.174
2026-07-20 18:33:24,19.8,37.65,66.91,0.7544,int8,curly-coated retriever,0.4141,3.03,0.11
2026-07-20 18:33:25,13.48,37.67,65.34,0.7674,fp32,curly-coated retriever,0.5467,17.45,0.188
2026-07-20 18:33:26,9.69,37.64,64.01,0.7732,fp32,curly-coated retriever,0.5467,13.89,0.084
2026-07-20 18:33:27,8.21,37.63,62.8,0.7717,fp32,curly-coated retriever,0.5467,12.87,0.073
2026-07-20 18:33:28,7.33,37.62,62.48,0.7724,fp32,curly-coated retriever,0.5467,15.63,0.213
2026-07-20 18:33:29,6.76,37.61,61.89,0.7706,fp32,curly-coated retriever,0.5467,23.02,0.193
2026-07-20 18:33:30,6.41,37.61,61.13,0.7668,fp32,curly-coated retriever,0.5467,12.78,0.088
2026-07-20 18:33:31,6.21,37.64,60.68,0.7649,fp32,curly-coated retriever,0.5467,13.26,0.077
2026-07-20 18:33:32,5.41,37.67,60.01,0.7642,fp32,curly-coated retriever,0.5467,12.69,0.167
2026-07-20 18:33:33,8.04,37.68,59.6,0.7536,int8,curly-coated retriever,0.4141,3.78,0.193
2026-07-20 18:33:34,6.47,37.69,59.76,0.759,fp32,curly-coated retriever,0.5467,22.29,0.189
2026-07-20 18:33:35,6.2,37.69,59.86,0.7588,fp32,curly-coated retriever,0.5467,12.67,0.087
2026-07-20 18:33:36,6.16,37.7,59.91,0.7584,fp32,curly-coated retriever,0.5467,22.99,0.218
2026-07-20 18:33:37,6.9,37.7,59.55,0.7534,int8,curly-coated retriever,0.4141,2.99,0.081
2026-07-20 18:33:38,7.26,37.7,58.93,0.7505,fp32,curly-coated retriever,0.5467,12.75,0.098
2026-07-20 18:33:39,5.99,37.7,59.36,0.755,fp32,curly-coated retriever,0.5467,12.8,0.093
2026-07-20 18:33:40,6.04,37.7,58.81,0.7525,fp32,curly-coated retriever,0.5467,12.67,0.089
2026-07-20 18:33:42,6.74,37.74,58.49,0.7491,int8,curly-coated retriever,0.4141,3.07,0.091
2026-07-20 18:33:43,5.65,37.76,58.29,0.7518,fp32,curly-coated retriever,0.5467,14.74,0.17
2026-07-20 18:33:44,4.95,37.78,57.78,0.7518,fp32,curly-coated retriever,0.5467,12.76,0.076
2026-07-20 18:33:45,4.61,37.83,57.87,0.7525,fp32,curly-coated retriever,0.5467,13.19,0.075
