timestamp,cpu,ram,temperature,health_score,model,label,confidence,latency_ms,decision_time_ms
2026-07-20 18:35:33,14.3,37.8,57.0,0.8324,fp32,curly-coated retriever,0.5467,14.54,0.226
2026-07-20 18:35:34,14.24,37.82,57.0,0.8288,int8,curly-coated retriever,0.4141,9.44,0.226
2026-07-20 18:35:35,10.14,37.81,57.0,0.8378,fp32,curly-coated retriever,0.5467,14.55,0.193
2026-07-20 18:35:36,10.25,37.85,57.4,0.836,fp32,curly-coated retriever,0.5467,13.03,0.093
2026-07-20 18:35:37,8.51,37.91,57.24,0.836,fp32,curly-coated retriever,0.5467,14.16,0.073
2026-07-20 18:35:38,7.46,37.94,57.14,0.8343,int8,curly-coated retriever,0.4141,3.44,0.215
2026-07-20 18:35:39,6.12,37.93,57.09,0.8376,fp32,curly-coated retriever,0.5467,22.37,0.181
2026-07-20 18:35:40,5.27,37.92,57.05,0.8344,int8,curly-coated retriever,0.4141,4.23,0.187
2026-07-20 18:35:41,4.76,37.91,57.03,0.8356,fp32,curly-coated retriever,0.5467,24.44,0.183
2026-07-20 18:35:42,6.06,37.91,57.42,0.8272,fp32,curly-coated retriever,0.5467,21.19,0.189
2026-07-20 18:35:43,6.07,37.9,57.65,0.8226,int8,curly-coated retriever,0.4141,3.09,0.186
2026-07-20 18:35:44,6.0,37.9,57.39,0.8222,fp32,curly-coated retriever,0.5467,13.93,0.188
2026-07-20 18:35:45,6.72,37.86,56.83,0.8162,int8,curly-coated retriever,0.4141,9.28,0.218
2026-07-20 18:35:46,6.39,37.8,56.5,0.8178,fp32,curly-coated retriever,0.5467,12.93,0.078
2026-07-20 18:35:47,7.04,37.76,56.7,0.8145,fp32,curly-coated retriever,0.5467,22.86,0.192
2026-07-20 18:35:48,6.7,37.77,56.42,0.8099,int8,curly-coated retriever,0.4141,3.0,0.08
2026-07-20 18:35:49,5.66,37.74,56.25,0.8107,fp32,curly-coated retriever,0.5467,16.66,0.222
2026-07-20 18:35:50,7.32,37.73,56.15,0.8055,fp32,curly-coated retriever,0.5467,14.58,0.203
2026-07-20 18:35:52,7.67,37.72,56.09,0.8025,fp32,curly-coated retriever,0.5467,12.9,0.084
