timestamp,cpu,ram,temperature,health_score,model,label,confidence,latency_ms,decision_time_ms
2026-07-20 18:48:44,26.0,37.2,57.0,1.2373,fp32,curly-coated retriever,0.5467,14.07,0.217
2026-07-20 18:48:45,23.2,37.24,57.4,1.1703,int8,curly-coated retriever,0.4141,5.17,0.273
2026-07-20 18:48:46,21.44,37.3,58.44,1.1725,fp32,curly-coated retriever,0.5467,13.08,0.081
2026-07-20 18:48:47,16.86,37.3,57.86,1.1002,int8,curly-coated retriever,0.4141,9.79,0.231
2026-07-20 18:48:48,17.48,37.34,57.52,1.0993,fp32,curly-coated retriever,0.5467,20.31,0.296
2026-07-20 18:48:49,19.13,37.36,57.31,1.0462,int8,curly-coated retriever,0.4141,2.88,0.083
2026-07-20 18:48:50,15.56,37.38,57.19,1.0432,fp32,curly-coated retriever,0.5467,25.33,0.2
2026-07-20 18:48:51,15.05,37.39,59.11,1.0076,int8,curly-coated retriever,0.4141,2.86,0.082
2026-07-20 18:48:52,17.19,37.35,58.27,1.0052,fp32,curly-coated retriever,0.5467,12.59,0.081
2026-07-20 18:48:53,17.52,37.37,57.76,0.9807,int8,curly-coated retriever,0.4141,3.76,0.281
2026-07-20 18:48:54,18.51,37.34,57.46,0.9804,fp32,curly-coated retriever,0.5467,12.75,0.085
2026-07-20 18:48:55,17.63,37.33,58.47,0.9648,fp32,curly-coated retriever,0.5467,24.43,0.186
2026-07-20 18:48:56,17.1,37.36,57.48,0.9378,int8,curly-coated retriever,0.4141,10.12,0.194
2026-07-20 18:48:57,16.66,37.33,57.29,0.9368,fp32,curly-coated retriever,0.5467,14.32,0.212
2026-07-20 18:48:58,17.35,37.32,57.17,0.9235,int8,curly-coated retriever,0.4141,10.92,0.232
2026-07-20 18:48:59,17.09,37.27,56.7,0.9216,fp32,curly-coated retriever,0.5467,22.54,0.201
2026-07-20 18:49:00,18.58,37.24,56.82,0.9082,fp32,curly-coated retriever,0.5467,25.57,0.208
2026-07-20 18:49:01,18.35,37.23,56.89,0.8936,int8,curly-coated retriever,0.4141,6.3,0.258
2026-07-20 18:49:02,19.97,37.22,56.14,0.8934,fp32,curly-coated retriever,0.5467,14.8,0.185
2026-07-20 18:49:03,18.5,37.25,55.68,0.8818,int8,curly-coated retriever,0.4141,3.53,0.078
2026-07-20 18:49:04,15.26,37.35,55.81,0.8806,fp32,curly-coated retriever,0.5467,22.56,0.192
2026-07-20 18:49:05,14.04,37.45,55.89,0.8711,int8,curly-coated retriever,0.4141,10.07,0.221
2026-07-20 18:49:06,17.22,37.51,55.93,0.8719,fp32,curly-coated retriever,0.5467,25.18,0.212
2026-07-20 18:49:07,16.05,37.51,55.56,0.8602,int8,curly-coated retriever,0.4141,10.39,0.22
2026-07-20 18:49:08,15.47,37.5,55.34,0.8595,fp32,curly-coated retriever,0.5467,21.08,0.2
2026-07-20 18:49:09,14.16,37.5,55.2,0.8516,fp32,curly-coated retriever,0.5467,14.33,0.119
2026-07-20 18:49:10,11.82,37.5,57.12,0.8544,int8,curly-coated retriever,0.4141,2.92,0.077
2026-07-20 18:49:11,11.89,37.46,57.07,0.8541,fp32,curly-coated retriever,0.5467,14.05,0.142
2026-07-20 18:49:12,13.53,37.44,59.04,0.8547,fp32,curly-coated retriever,0.5467,12.53,0.086
2026-07-20 18:49:13,12.2,37.5,58.23,0.8482,int8,curly-coated retriever,0.4141,10.25,0.209
2026-07-20 18:49:14,12.2,37.58,57.34,0.8452,fp32,curly-coated retriever,0.5467,22.88,0.194
2026-07-20 18:49:15,13.72,37.63,57.2,0.8372,int8,curly-coated retriever,0.4141,10.45,0.206
2026-07-20 18:49:16,17.03,37.66,57.12,0.8379,fp32,curly-coated retriever,0.5467,23.59,0.201
2026-07-20 18:49:17,14.3,37.67,56.27,0.8282,fp32,curly-coated retriever,0.5467,13.49,0.082
2026-07-20 18:49:18,15.94,37.68,56.16,0.8249,int8,curly-coated retriever,0.4141,10.67,0.115
2026-07-20 18:49:19,24.35,37.71,60.15,0.8578,fp32,curly-coated retriever,0.5467,34.44,0.143
2026-07-20 18:49:20,31.91,37.73,63.63,0.8997,int8,curly-coated retriever,0.4141,10.67,0.116
2026-07-20 18:49:21,38.72,37.74,66.67,0.9585,fp32,curly-coated retriever,0.5467,35.65,0.108
2026-07-20 18:49:22,44.85,37.75,69.4,0.9912,int8,curly-coated retriever,0.4141,9.96,0.136
2026-07-20 18:49:23,66.91,37.89,79.64,1.2192,fp32,curly-coated retriever,0.5467,37.81,0.122
2026-07-20 18:49:24,80.15,37.97,85.78,1.2449,int8,curly-coated retriever,0.4141,11.6,0.158
2026-07-20 18:49:25,88.09,37.98,90.67,1.326,fp32,curly-coated retriever,0.5467,40.2,0.118
2026-07-20 18:49:26,92.85,38.03,93.6,1.2113,int8,curly-coated retriever,0.4141,10.1,0.11
2026-07-20 18:49:27,95.71,38.02,95.36,1.235,int8,curly-coated retriever,0.4141,12.62,0.198
2026-07-20 18:49:29,97.43,38.33,95.62,1.2462,fp32,curly-coated retriever,0.5467,38.26,0.209
2026-07-20 18:49:30,98.46,38.8,95.77,1.1328,int8,curly-coated retriever,0.4141,14.31,0.122
2026-07-20 18:49:31,99.07,39.44,96.66,1.1397,int8,curly-coated retriever,0.4141,8.44,0.18
2026-07-20 18:49:32,99.44,39.78,95.6,1.138,fp32,curly-coated retriever,0.5467,43.36,0.135
2026-07-20 18:49:33,99.67,40.03,95.36,1.05,int8,curly-coated retriever,0.4141,11.39,0.113
2026-07-20 18:49:34,99.8,40.22,94.82,1.049,int8,curly-coated retriever,0.4141,8.56,0.165
2026-07-20 18:49:35,99.88,40.33,94.49,1.0485,int8,curly-coated retriever,0.4141,13.95,0.236
2026-07-20 18:49:36,99.93,40.48,94.29,1.0483,fp32,curly-coated retriever,0.5467,41.25,0.131
2026-07-20 18:49:37,99.96,40.81,94.18,0.9908,int8,curly-coated retriever,0.4141,8.37,0.148
2026-07-20 18:49:38,99.97,40.84,93.71,0.9896,int8,curly-coated retriever,0.4141,11.96,0.236
2026-07-20 18:49:39,99.98,40.67,94.22,0.9907,int8,curly-coated retriever,0.4141,5.39,0.164
2026-07-20 18:49:40,99.99,40.88,94.53,0.992,int8,curly-coated retriever,0.4141,11.85,0.235
2026-07-20 18:49:41,99.99,41.05,94.32,0.9917,fp32,curly-coated retriever,0.5467,48.29,0.149
2026-07-20 18:49:42,100.0,41.07,93.79,0.9385,int8,curly-coated retriever,0.4141,14.1,0.121
2026-07-20 18:49:43,100.0,41.04,94.28,0.9397,int8,curly-coated retriever,0.4141,13.46,0.116
2026-07-20 18:49:44,100.0,40.9,94.17,0.9392,int8,curly-coated retriever,0.4141,7.9,0.184
2026-07-20 18:49:45,100.0,40.7,94.5,0.9398,int8,curly-coated retriever,0.4141,10.43,0.126
2026-07-20 18:49:46,100.0,40.54,94.3,0.939,int8,curly-coated retriever,0.4141,8.28,0.132
2026-07-20 18:49:47,100.0,40.33,94.18,0.9383,fp32,curly-coated retriever,0.5467,38.15,0.214
2026-07-20 18:49:48,100.0,40.16,94.11,0.9088,int8,curly-coated retriever,0.4141,13.03,0.155
2026-07-20 18:49:49,100.0,39.97,93.66,0.9074,int8,curly-coated retriever,0.4141,10.74,0.115
2026-07-20 18:49:50,100.0,39.74,93.8,0.9074,int8,curly-coated retriever,0.4141,14.11,0.121
2026-07-20 18:49:51,100.0,39.61,94.28,0.9085,int8,curly-coated retriever,0.4141,11.87,0.125
2026-07-20 18:49:52,100.0,39.56,94.57,0.9092,int8,curly-coated retriever,0.4141,11.82,0.132
2026-07-20 18:49:53,100.0,39.46,86.34,0.8932,int8,curly-coated retriever,0.4141,10.25,0.2
2026-07-20 18:49:54,91.6,39.43,84.51,0.8664,fp32,curly-coated retriever,0.5467,23.58,0.249
2026-07-20 18:49:55,83.66,39.41,82.86,0.8372,int8,curly-coated retriever,0.4141,10.78,0.289
2026-07-20 18:49:56,76.89,39.37,81.07,0.819,fp32,curly-coated retriever,0.5467,22.66,0.224
2026-07-20 18:49:57,70.2,39.34,79.46,0.8005,int8,curly-coated retriever,0.4141,8.93,0.201
2026-07-20 18:49:58,47.0,39.24,73.28,0.7724,int8,curly-coated retriever,0.4141,10.75,0.211
2026-07-20 18:49:59,34.72,39.19,69.97,0.7806,int8,curly-coated retriever,0.4141,10.74,0.215
2026-07-20 18:50:00,28.03,39.11,67.18,0.7885,int8,curly-coated retriever,0.4141,11.83,0.226
2026-07-20 18:50:01,23.34,39.07,65.91,0.7995,int8,curly-coated retriever,0.4141,9.04,0.279
2026-07-20 18:50:02,17.32,39.04,64.34,0.8169,fp32,curly-coated retriever,0.5467,17.29,0.116
2026-07-20 18:50:03,15.27,38.98,63.81,0.8201,fp32,curly-coated retriever,0.5467,23.27,0.233
2026-07-20 18:50:04,15.68,38.95,63.48,0.8124,fp32,curly-coated retriever,0.5467,13.5,0.121
2026-07-20 18:50:05,16.45,38.89,63.29,0.806,fp32,curly-coated retriever,0.5467,24.77,0.216
