timestamp,cpu,ram,temperature,battery,health_score,model,decision_source,image_path,true_label,label,correct,confidence,latency_ms,decision_time_ms
2026-08-09 16:32:15,2.0,30.6,45.0,76.98,20.62,fp32,algo,datasets/imagenette2-320/val/n03417042/n03417042_5221.JPEG,garbage truck,garbage truck,True,0.7764,18.2,0.012
2026-08-09 16:32:17,2.0,30.62,45.2,76.98,20.68,fp32,algo,datasets/imagenette2-320/val/n03445777/n03445777_490.JPEG,golf ball,golf ball,True,0.8951,18.8,0.019
2026-08-09 16:32:19,2.0,30.69,45.12,76.98,20.67,fp32,algo,datasets/imagenette2-320/val/n02979186/n02979186_5280.JPEG,cassette player,television,False,0.2154,18.9,0.011
2026-08-09 16:32:20,2.8,30.82,45.47,76.95,21.2,fp32,algo,datasets/imagenette2-320/val/n02102040/n02102040_332.JPEG,English springer,English springer,True,0.2494,17.59,0.015
2026-08-09 16:32:22,2.48,30.85,45.28,76.95,20.99,fp32,algo,datasets/imagenette2-320/val/n02979186/n02979186_19412.JPEG,cassette player,cassette player,True,0.6009,17.74,0.011
2026-08-09 16:32:24,2.29,30.87,45.97,76.93,21.11,fp32,algo,datasets/imagenette2-320/val/n03394916/n03394916_51571.JPEG,French horn,French horn,True,0.9576,21.99,0.007
2026-08-09 16:32:25,2.17,31.52,45.58,76.93,21.06,fp32,algo,datasets/imagenette2-320/val/n03000684/n03000684_28711.JPEG,chain saw,chain saw,True,0.9911,23.86,0.016
2026-08-09 16:32:27,2.86,31.91,45.35,76.91,21.42,fp32,algo,datasets/imagenette2-320/val/n03000684/n03000684_10902.JPEG,chain saw,syringe,False,0.5531,24.08,0.011
2026-08-09 16:32:29,3.32,32.15,45.21,76.91,21.65,fp32,algo,datasets/imagenette2-320/val/n03425413/n03425413_16300.JPEG,gas pump,gas pump,True,0.8064,18.11,0.01
2026-08-09 16:32:30,2.79,32.25,45.53,76.91,21.5,fp32,algo,datasets/imagenette2-320/val/n03888257/n03888257_880.JPEG,parachute,snowmobile,False,0.4563,22.79,0.012
2026-08-09 16:32:32,2.47,32.31,44.92,76.89,21.17,fp32,algo,datasets/imagenette2-320/val/n03028079/n03028079_13311.JPEG,church,stupa,False,0.633,18.19,0.011
2026-08-09 16:32:33,2.28,32.35,44.95,76.89,21.1,fp32,algo,datasets/imagenette2-320/val/n02102040/n02102040_791.JPEG,English springer,whippet,False,0.459,17.99,0.014
2026-08-09 16:32:35,2.17,32.41,44.97,76.89,21.06,fp32,algo,datasets/imagenette2-320/val/n02979186/n02979186_19690.JPEG,cassette player,tape player,False,0.5127,19.04,0.011
2026-08-09 16:32:37,2.86,32.4,44.98,76.89,21.4,fp32,algo,datasets/imagenette2-320/val/n03425413/n03425413_13231.JPEG,gas pump,mobile home,False,0.5726,17.96,0.011
2026-08-09 16:32:38,2.52,32.4,44.99,76.87,21.24,fp32,algo,datasets/imagenette2-320/val/n03445777/n03445777_5912.JPEG,golf ball,golf ball,True,0.7808,17.43,0.01
2026-08-09 16:32:40,2.31,32.4,44.99,76.87,21.13,fp32,algo,datasets/imagenette2-320/val/n03888257/n03888257_61350.JPEG,parachute,parachute,True,0.9283,17.88,0.011
2026-08-09 16:32:41,2.95,32.4,45.0,76.87,21.45,fp32,algo,datasets/imagenette2-320/val/n02102040/n02102040_990.JPEG,English springer,English springer,True,0.9408,25.19,0.014
2026-08-09 16:32:43,3.33,32.4,45.4,76.84,21.77,fp32,algo,datasets/imagenette2-320/val/n03417042/n03417042_3272.JPEG,garbage truck,garbage truck,True,0.385,17.29,0.013
2026-08-09 16:32:45,2.8,32.4,44.84,76.84,21.33,fp32,algo,datasets/imagenette2-320/val/n03425413/n03425413_691.JPEG,gas pump,parking meter,False,0.29,17.54,0.011
2026-08-09 16:32:46,2.48,32.4,44.5,76.84,21.07,fp32,algo,datasets/imagenette2-320/val/n03028079/n03028079_29670.JPEG,church,church,True,0.4952,17.5,0.011
2026-08-09 16:32:48,3.05,32.4,44.7,76.84,21.41,fp32,algo,datasets/imagenette2-320/val/n03000684/n03000684_34971.JPEG,chain saw,chain saw,True,0.9983,22.73,0.014
2026-08-09 16:32:50,11.68,32.42,45.36,76.82,25.93,fp32,algo,datasets/imagenette2-320/val/n03417042/n03417042_2991.JPEG,garbage truck,snowplow,False,0.5577,76.82,0.011
