timestamp,cpu,ram,temperature,battery,health_score,model,decision_source,image_path,true_label,label,correct,confidence,latency_ms,decision_time_ms
2026-08-09 16:41:52,6.0,32.1,44.0,72.82,1.353,fp32,algo,datasets/imagenette2-320/val/n03417042/n03417042_5221.JPEG,garbage truck,garbage truck,True,0.7764,20.05,0.235
2026-08-09 16:41:53,8.4,32.14,44.0,72.82,1.2992,int8,algo,datasets/imagenette2-320/val/n03445777/n03445777_490.JPEG,golf ball,golf ball,True,0.9219,4.22,0.326
2026-08-09 16:41:54,6.64,32.24,44.0,72.82,1.2984,int8,algo,datasets/imagenette2-320/val/n02979186/n02979186_5280.JPEG,cassette player,microwave,False,0.1875,4.16,0.288
2026-08-09 16:41:55,5.54,32.27,43.6,72.8,1.2966,fp32,algo,datasets/imagenette2-320/val/n02102040/n02102040_332.JPEG,English springer,English springer,True,0.2494,17.23,0.291
2026-08-09 16:41:56,5.73,32.36,43.36,72.8,1.0866,int8,algo,datasets/imagenette2-320/val/n02979186/n02979186_19412.JPEG,cassette player,cassette player,True,0.5234,4.17,0.248
2026-08-09 16:41:57,4.24,32.42,43.62,72.8,1.0871,int8,algo,datasets/imagenette2-320/val/n03394916/n03394916_51571.JPEG,French horn,French horn,True,0.957,4.0,0.233
2026-08-09 16:41:58,4.14,32.45,43.37,72.8,1.0865,int8,algo,datasets/imagenette2-320/val/n03000684/n03000684_28711.JPEG,chain saw,chain saw,True,0.9805,9.91,0.234
2026-08-09 16:41:59,4.04,32.43,43.22,72.8,1.086,int8,algo,datasets/imagenette2-320/val/n03000684/n03000684_10902.JPEG,chain saw,chain saw,True,0.2188,5.7,0.252
2026-08-09 16:42:00,3.99,32.42,42.73,72.78,1.0847,fp32,algo,datasets/imagenette2-320/val/n03425413/n03425413_16300.JPEG,gas pump,gas pump,True,0.8064,24.08,0.251
2026-08-09 16:42:01,3.19,32.45,42.84,72.78,1.0768,fp32,algo,datasets/imagenette2-320/val/n03888257/n03888257_880.JPEG,parachute,snowmobile,False,0.4563,21.89,0.252
2026-08-09 16:42:02,3.52,32.47,42.5,72.78,1.0114,int8,algo,datasets/imagenette2-320/val/n03028079/n03028079_13311.JPEG,church,stupa,False,0.3945,3.8,0.247
2026-08-09 16:42:04,3.67,32.48,42.3,72.78,1.011,fp32,algo,datasets/imagenette2-320/val/n02102040/n02102040_791.JPEG,English springer,whippet,False,0.459,18.81,0.224
2026-08-09 16:42:05,3.84,32.49,42.18,72.78,0.9675,int8,algo,datasets/imagenette2-320/val/n02979186/n02979186_19690.JPEG,cassette player,tape player,False,0.5547,3.79,0.247
2026-08-09 16:42:06,3.1,32.45,42.51,72.78,0.9681,int8,algo,datasets/imagenette2-320/val/n03425413/n03425413_13231.JPEG,gas pump,mobile home,False,0.9297,9.07,0.199
2026-08-09 16:42:07,3.46,32.47,42.31,72.76,0.9676,int8,algo,datasets/imagenette2-320/val/n03445777/n03445777_5912.JPEG,golf ball,golf ball,True,0.8633,3.97,0.216
2026-08-09 16:42:08,3.68,32.48,42.18,72.76,0.9674,int8,algo,datasets/imagenette2-320/val/n03888257/n03888257_61350.JPEG,parachute,parachute,True,0.8203,4.54,0.216
2026-08-09 16:42:09,3.81,32.49,42.51,72.76,0.9681,int8,algo,datasets/imagenette2-320/val/n02102040/n02102040_990.JPEG,English springer,English springer,True,0.9297,3.8,0.236
2026-08-09 16:42:10,3.08,32.49,42.71,72.76,0.9685,int8,algo,datasets/imagenette2-320/val/n03417042/n03417042_3272.JPEG,garbage truck,garbage truck,True,0.4492,3.92,0.23
2026-08-09 16:42:11,4.25,32.5,42.82,72.76,0.9689,int8,algo,datasets/imagenette2-320/val/n03425413/n03425413_691.JPEG,gas pump,parking meter,False,0.1523,9.15,0.272
2026-08-09 16:42:12,4.91,32.5,42.49,72.74,0.9682,fp32,algo,datasets/imagenette2-320/val/n03028079/n03028079_29670.JPEG,church,church,True,0.4952,17.73,0.253
