timestamp,cpu,ram,temperature,battery,health_score,model,decision_source,image_path,true_label,label,correct,confidence,latency_ms,decision_time_ms
2026-08-09 16:36:41,2.0,32.3,43.0,75.24,0.0306,fp32,algo,datasets/imagenette2-320/val/n03417042/n03417042_5221.JPEG,garbage truck,garbage truck,True,0.7764,19.43,6.95
2026-08-09 16:36:42,5.52,32.32,43.0,75.24,-0.1298,int8,algo,datasets/imagenette2-320/val/n03445777/n03445777_490.JPEG,golf ball,golf ball,True,0.9219,3.86,0.939
2026-08-09 16:36:43,4.11,32.39,43.4,75.24,-0.1963,int8,algo,datasets/imagenette2-320/val/n02979186/n02979186_5280.JPEG,cassette player,microwave,False,0.1875,4.11,0.883
2026-08-09 16:36:44,4.11,32.48,43.64,75.24,0.0041,int8,algo,datasets/imagenette2-320/val/n02102040/n02102040_332.JPEG,English springer,English springer,True,0.5234,3.89,0.861
2026-08-09 16:36:45,3.26,32.53,43.78,75.24,1.6424,fp32,algo,datasets/imagenette2-320/val/n02979186/n02979186_19412.JPEG,cassette player,cassette player,True,0.6009,17.77,0.7
2026-08-09 16:36:47,5.08,32.56,43.87,75.22,-0.6444,fp32,algo,datasets/imagenette2-320/val/n03394916/n03394916_51571.JPEG,French horn,French horn,True,0.9576,20.42,0.655
2026-08-09 16:36:48,4.61,32.57,43.92,75.22,2.1584,fp32,algo,datasets/imagenette2-320/val/n03000684/n03000684_28711.JPEG,chain saw,chain saw,True,0.9911,17.89,0.774
2026-08-09 16:36:49,5.12,32.62,43.95,75.22,1.3584,fp32,algo,datasets/imagenette2-320/val/n03000684/n03000684_10902.JPEG,chain saw,syringe,False,0.5531,17.77,0.848
2026-08-09 16:36:50,3.87,32.65,43.97,75.22,0.3311,int8,algo,datasets/imagenette2-320/val/n03425413/n03425413_16300.JPEG,gas pump,gas pump,True,0.7344,3.96,0.848
2026-08-09 16:36:51,3.96,32.67,43.98,75.22,0.567,int8,algo,datasets/imagenette2-320/val/n03888257/n03888257_880.JPEG,parachute,parachute,True,0.3281,5.0,0.704
2026-08-09 16:36:52,3.94,32.68,43.99,75.22,0.8596,fp32,algo,datasets/imagenette2-320/val/n03028079/n03028079_13311.JPEG,church,stupa,False,0.633,20.79,0.373
2026-08-09 16:36:53,13.54,32.69,43.99,75.2,1.1003,fp32,algo,datasets/imagenette2-320/val/n02102040/n02102040_791.JPEG,English springer,whippet,False,0.459,22.27,0.677
2026-08-09 16:36:54,12.79,32.51,43.99,75.2,0.7222,fp32,algo,datasets/imagenette2-320/val/n02979186/n02979186_19690.JPEG,cassette player,tape player,False,0.5127,26.42,0.971
2026-08-09 16:36:55,12.51,32.33,44.09,75.18,0.6607,int8,algo,datasets/imagenette2-320/val/n03425413/n03425413_13231.JPEG,gas pump,mobile home,False,0.9297,6.09,0.548
2026-08-09 16:36:56,11.85,32.16,43.98,75.16,-0.081,int8,algo,datasets/imagenette2-320/val/n03445777/n03445777_5912.JPEG,golf ball,golf ball,True,0.8633,6.96,0.844
2026-08-09 16:36:57,11.26,32.02,44.09,75.13,0.1431,int8,algo,datasets/imagenette2-320/val/n03888257/n03888257_61350.JPEG,parachute,parachute,True,0.8203,6.16,0.945
2026-08-09 16:36:58,9.19,31.45,44.45,75.13,0.8094,fp32,algo,datasets/imagenette2-320/val/n02102040/n02102040_990.JPEG,English springer,English springer,True,0.9408,30.03,0.925
